dte_dateof,amt_price,houseno,houseunit,stdir,stname,sttype,stsuffix,heatedarea,yearbuilt,fullbaths,halfbaths,bedrooms,actype,vacantorim,totalac,siding,area,geometry
2021-05-28,877500,2123,NA,NA,FLORAL,AV,NA,2282,1946,2,1,3,AC-CENTRAL,IMP,0,FACE BRICK,03105,"list(list(c(441565.2148292, 441562.965429202, 441561.176229202, 441530.061729199, 441544.4884292, 441576.986229203, 441565.2148292, 162157.275759402, 162159.372759404, 162157.6963594, 162191.3347594, 162204.824659404, 162167.736559405, 162157.275759402)))"
2013-05-02,90000,8602,NA,NA,FINDON,PL,NA,1257,1993,2,0,3,AC-CENTRAL,IMP,0,MASONITE,03107,"list(list(c(458057.061475035, 458056.604274119, 458037.895612704, 458018.808998529, 458017.245371403, 458016.026168965, 458019.912376738, 458020.521977957, 458020.902978719, 458025.51461194, 458030.086621085, 458034.619006151, 458038.200413313, 458042.659646231, 458047.07925507, 458051.422663756, 458055.497847909, 458065.556268026, 458064.986290884, 458064.071889056, 458063.194063301, 458062.31928555, 458061.481083874, 458060.642882197, 458059.880880673, 458059.118879149, 458058.393453699, 458057.707652328, 
458057.061475035, 167737.358147629, 167736.843034601, 167755.283471479, 167774.10490912, 167775.665488246, 167776.84811461, 167777.896628705, 167778.049029009, 167778.161805237, 167779.515119943, 167780.999498912, 167782.621038153, 167783.953016821, 167785.763532439, 167787.668536251, 167789.686316286, 167791.725432365, 167741.643644199, 167741.585732084, 167741.41504374, 167741.186443287, 167740.881642676, 167740.55855403, 167740.119641149, 167739.662440236, 167739.186951286, 167738.595638105, 167737.986036883, 
167737.358147629)))"
2017-05-26,185000,8412,NA,NA,DUCKWOOD,LN,NA,2145,1993,2,1,4,AC-CENTRAL,IMP,0,MASONITE,03107,"list(list(c(458080.567729201, 458100.013929201, 458120.2222292, 458101.385629198, 458080.567729201, 168217.138659407, 168225.398759403, 168180.105459402, 168171.540559406, 168217.138659407)))"
2014-07-24,180000,13823,NA,NA,WAVERTON,LN,NA,1624,2006,2,1,2,AC-CENTRAL,IMP,0.079,"ALUM,VINYL",03106,"list(list(c(435266.089669092, 435259.993656901, 435232.180601274, 435236.792234496, 435266.089669092, 184556.959874829, 184550.424949764, 184572.769882452, 184578.847606609, 184556.959874829)))"
2016-08-19,309000,9313,NA,NA,OLIVIA,LN,NA,2606,1997,2,1,4,AC-CENTRAL,IMP,0,"ALUM,VINYL",03104,"list(list(c(443872.51588194, 443864.133865176, 443824.052585013, 443826.447343775, 443828.268162193, 443829.502419916, 443872.51588194, 144327.031502978, 144307.411487736, 144324.53518598, 144331.335283511, 144338.311014023, 144345.414027735, 144327.031502978)))"
2018-01-18,538000,1010,NA,NA,ELIZABETH MANOR,CT,NA,5195,2000,4,1,5,AC-CENTRAL,IMP,0.706,FACE BRICK,03108,"list(list(c(450519.775129199, 450517.946329198, 450516.056529201, 450513.2219292, 450472.931329202, 450475.426629202, 450477.0025292, 450478.329129199, 450479.3744292, 450480.113329199, 450480.5279292, 450480.608229201, 450480.6997292, 450519.866629198, 450519.775129199, 151524.855159404, 151496.904959403, 151468.284159405, 151424.545259407, 151508.276259406, 151510.072359406, 151511.560059406, 151513.273759404, 151515.172159404, 151517.209459404, 151519.336659405, 151521.502359406, 151522.325359406, 
151526.531559408, 151524.855159404)))"
2015-06-12,360000,20332,NA,NA,CATHEDRAL OAKS,DR,NA,2311,1999,2,0,3,AC-CENTRAL,IMP,0.277,FACE BRICK,03106,"list(c(439446.956191823, 439441.780486971, 439419.683776275, 439418.355607619, 439419.571762054, 439442.282455473, 439465.483115877, 439466.143771199, 439446.956191823, 194733.382976175, 194729.451619816, 194759.913392738, 194761.733052378, 194762.641358196, 194779.603321618, 194748.628150168, 194747.745371402, 194733.382976175))"
2018-03-08,625000,6828,NA,NA,ARONOMINK,DR,NA,4290,1986,3,2,4,AC-CENTRAL,IMP,0,WOOD ON SHTG,03104,"list(list(c(442572.236429199, 442510.976129198, 442510.100729201, 442500.608229201, 442490.930829199, 442560.388829199, 442561.9571292, 442563.284429198, 442563.8250292, 442564.159229201, 442563.549629199, 442563.792329201, 442564.406329202, 442565.376829199, 442566.680129198, 442568.284829199, 442570.152029199, 442572.236429199, 153545.469859405, 153463.237759404, 153466.343559403, 153499.719259405, 153533.829459402, 153575.739559407, 153571.835059402, 153567.842159407, 153565.159859404, 153562.444159403, 
153559.091359403, 153556.679559402, 153554.334659401, 153552.113459404, 153550.069659405, 153548.252959403, 153546.707159401, 153545.469859405)))"
2021-08-13,351000,9826,NA,NA,WHITE CASCADE,DR,NA,2502,1988,2,1,4,AC-CENTRAL,IMP,0,"ALUM,VINYL",03103,"list(list(c(448095.695929198, 448025.8356292, 448028.319229201, 448030.345729199, 448031.901129199, 448032.327829198, 448078.6880292, 448079.267129199, 448087.252929198, 448095.695929198, 178261.9036594, 178301.893559401, 178307.338659402, 178312.969859406, 178318.748959403, 178322.376159402, 178321.644559404, 178319.632859403, 178291.530259401, 178261.9036594)))"
2015-10-06,107000,9626,NA,NA,BARKRIDGE,RD,NA,1680,1978,2,1,4,AC-CENTRAL,IMP,0,"ALUM,VINYL",03107,"list(c(456476.280169472, 456475.335287579, 456434.583446079, 456447.994672901, 456490.758198428, 456489.630436171, 456488.411233733, 456487.039630989, 456485.546108, 456483.961144834, 456482.193301294, 456480.334017578, 456478.352813615, 456476.280169472, 162228.507753929, 162227.471431856, 162264.718066346, 162271.454159821, 162254.629166168, 162251.428759769, 162248.350273615, 162245.302267515, 162242.31522154, 162239.389135691, 162236.554490022, 162233.780804471, 162231.098559107, 162228.507753929
))"
