cosponsor,sponsor,bill
"Rep. Pelosi, Nancy [D-CA]","Rep. Sarbanes, John P. [D-MD]",HR 1
"Rep. Lofgren, Zoe [D-CA]","Rep. Sarbanes, John P. [D-MD]",HR 1
"Rep. Lowenthal, Alan S. [D-CA]","Rep. Fitzpatrick, Brian K. [R-PA]",HR 100
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1004
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1005
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1006
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1007
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1008
"Rep. Clarke, Yvette D. [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Green, Al [D-TX]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Schakowsky, Janice D. [D-IL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Lee, Barbara [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Espaillat, Adriano [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Blunt Rochester, Lisa [D-DE]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Barragan, Nanette Diaz [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Case, Ed [D-HI]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Lieu, Ted [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Velazquez, Nydia M. [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Grijalva, Raúl M. [D-AZ]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Gomez, Jimmy [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Porter, Katie [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Roybal-Allard, Lucille [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Kilmer, Derek [D-WA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Napolitano, Grace F. [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Pressley, Ayanna [D-MA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Castor, Kathy [D-FL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Sánchez, Linda T. [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Horsford, Steven [D-NV]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Eshoo, Anna G. [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Hayes, Jahana [D-CT]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Price, David E. [D-NC]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Cárdenas, Tony [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. McNerney, Jerry [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Strickland, Marilyn [D-WA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Lowenthal, Alan S. [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Hastings, Alcee L. [D-FL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Sires, Albio [D-NJ]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Garcia, Jesus G. ""Chuy"" [D-IL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Carson, Andre [D-IN]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Jackson Lee, Sheila [D-TX]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Newman, Marie [D-IL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Jayapal, Pramila [D-WA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Boyle, Brendan F. [D-PA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Torres, Ritchie [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
