OBJECTID,FAC_ADDRESS,CITY,NAME,BA_ID,CODE,LABEL,LABEL2,LABEL3,STATUS,TYPE,M_T,FRI,SAT,SUN,geometry,lon,lat
1,400 E Holding Avenue,Wake Forest,Wake Forest Community Library,17,WAK,Wake Forest,WAK,Wake Forest Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.5102686288394, 35.9699431510653)",-78.51026862883941,35.96994315106534
2,1000 Dogwood Drive,Zebulon,Zebulon Community Library,20,ZEB,Zebulon,ZEB,Zebulon Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.3198196144822, 35.8364516187389)",-78.31981961448216,35.83645161873887
3,5800 Duraleigh Road,Raleigh,Duraleigh Road Community Library,4,DUR,Duraleigh Road,DUR,Duraleigh Road Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.7117585777234, 35.8574407209372)",-78.71175857772342,35.857440720937234
4,207 S Hollybrook Road,Wendell,Wendell Community Library,18,WEN,Wendell,WEN,Wendell Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.3661124626693, 35.7785881736268)",-78.36611246266926,35.778588173626815
5,4101 Green Road,Raleigh,Green Road Community Library,9,GRE,Green Road,GRE,Green Road Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.5919207884758, 35.8392960172423)",-78.59192078847576,35.83929601724227
6,946 Steeple Square Court,Knightdale,East Regional Library,5,ERL,East,ERL,East Regional,NA,Regional,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.4871531945863, 35.8028172431802)",-78.48715319458627,35.80281724318021
7,315 Kildaire Farm Road,Cary,Cary Regional Library,3,CRY,Cary,CRY,Cary Regional,NA,Regional,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.7802386718995, 35.7829709430493)",-78.78023867189951,35.78297094304934
8,1313 New Bern Avenue,Raleigh,Richard B. Harrison Community Library,14,RBH,R.B. Harrison,RBH,Richard B. Harrison Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.6182788920331, 35.780216809883)",-78.61827889203313,35.78021680988296
9,1601-14 Cross Link Road,Raleigh,Southgate Community Library,16,SGA,Southgate,SGA,Southgate Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.6153711163032, 35.7551204828349)",-78.61537111630315,35.75512048283493
10,1930 Clark Avenue,Raleigh,Village Regional Library,2,VIL,Village,VIL,Village Regional,NA,Regional,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.6582239837004, 35.7898324886711)",-78.65822398370044,35.789832488671095
11,2100 Shepherds Vineyard Drive,Apex,Eva Perry Regional Library,6,EVA,Eva Perry,EVA,Eva Perry Regional,NA,Regional,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.8251581111118, 35.7437761380417)",-78.82515811111178,35.74377613804173
12,908 Seventh Avenue,Garner,Southeast Regional Library,15,SER,Southeast,SER,Southeast Regional,NA,Regional,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.6211588245288, 35.7060193004849)",-78.62115882452878,35.70601930048486
13,271 Bramblehill Drive,Fuquay-Varina,Fuquay-Varina Community Library,8,FUQ,Fuquay-Varina,FUQ,Fuquay-Varina Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.7802492002145, 35.5850546933669)",-78.78024920021448,35.5850546933669
14,4000 Louis Stephens Drive,Cary,West Regional Library,19,WRL,West,WRL,West Regional,NA,Regional,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.8644889896713, 35.8148553511527)",-78.86448898967132,35.81485535115266
15,300 W Ballentine Street,Holly Springs,Holly Springs Community Library,10,HSP,Holly Springs,HSP,Holly Springs Community,NA,Community,10 a.m. - 8 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,1 p.m. - 5 p.m.,"c(-78.836550984841, 35.6501839889311)",-78.836550984841,35.65018398893113
