GEOID,total_population,total_households,seniors_65plus,race_white_alone,race_black_african_american_alone,race_asian_alone,race_other,zero_vehicle_households,households_income_less_than_35k,hispanic
370630001011,1099,479,118,654,285,0,160,32,142,239
370630001012,2051,825,237,525,1433,0,93,33,207,187
370630001021,2302,1047,125,1309,724,42,227,86,523,717
370630001022,2128,771,347,1201,482,97,348,41,242,513
370630002001,1094,349,63,616,310,0,168,68,179,384
370630002002,1162,410,61,781,301,0,80,80,137,339
370630002003,1087,447,97,1020,60,7,0,0,55,187
370630003011,1108,546,77,444,491,18,155,59,280,258
370630003012,592,255,68,242,296,28,26,57,90,11
370630003013,681,332,109,576,39,39,27,57,86,59
370630003021,938,403,33,784,15,17,122,11,41,81
370630003022,1314,527,118,1138,108,46,22,24,87,285
370630003023,1567,643,112,1150,225,58,134,101,213,328
370630004011,888,454,165,792,59,0,37,0,51,61
370630004012,1076,413,144,966,23,43,44,10,28,94
370630004013,936,358,109,845,54,16,21,12,40,45
370630004021,2337,1374,168,2018,84,134,101,61,571,183
370630005001,1100,135,201,633,299,127,41,39,99,99
370630005002,576,305,42,377,163,13,23,38,133,0
370630005003,899,533,30,257,503,112,27,99,271,26
370630005004,1957,594,160,518,1325,104,10,154,323,364
370630006001,2817,1223,277,1688,743,20,366,35,399,124
370630006002,2222,796,108,1737,185,45,255,63,246,914
370630006003,465,235,142,329,63,57,16,72,72,0
370630007001,1200,840,186,833,300,50,17,259,408,81
370630007002,1276,536,176,1005,133,58,80,0,64,4
370630007003,1206,497,211,763,200,38,205,8,82,162
370630009001,959,350,86,420,418,10,111,100,235,408
370630009002,751,292,104,191,502,6,52,41,111,92
370630010011,864,359,92,487,218,0,159,58,165,364
370630010012,1421,515,111,359,843,21,198,157,371,440
370630010013,1421,486,123,315,1106,0,0,29,269,168
370630010021,3056,989,138,1317,938,0,801,400,713,1863
370630010022,674,368,92,189,431,0,54,18,296,100
370630010023,860,355,137,338,522,0,0,34,237,285
370630010024,1341,530,47,767,352,176,46,143,338,644
370630011001,1760,717,216,646,1030,0,84,222,437,289
370630011002,1423,629,203,408,974,0,41,206,456,332
370630013011,1382,543,174,135,1139,5,103,112,299,177
370630013031,3354,450,220,502,2584,87,181,86,234,147
