state_fips,county_fips,econdep
01,001,Manufacturing
01,003,Service
01,005,Manufacturing
01,007,Nonspecialized
01,009,Nonspecialized
01,011,Farming
01,013,Nonspecialized
01,015,Government
01,017,Manufacturing
01,019,Nonspecialized
01,021,Nonspecialized
01,023,Manufacturing
01,025,Manufacturing
01,027,Manufacturing
01,029,Manufacturing
01,031,Manufacturing
01,033,Government
01,035,Nonspecialized
01,037,Manufacturing
01,039,Nonspecialized
01,041,Farming
01,043,Nonspecialized
01,045,Government
01,047,Manufacturing
01,049,Manufacturing
01,051,Nonspecialized
01,053,Manufacturing
01,055,Manufacturing
01,057,Manufacturing
01,059,Manufacturing
01,061,Farming
01,063,Nonspecialized
01,065,Manufacturing
01,067,Manufacturing
01,069,Nonspecialized
01,071,Manufacturing
01,073,Service
01,075,Manufacturing
01,077,Nonspecialized
01,079,Manufacturing
01,081,Government
01,083,Manufacturing
01,085,Manufacturing
01,087,Government
01,089,Government
01,091,Manufacturing
01,093,Manufacturing
01,095,Manufacturing
01,097,Nonspecialized
01,099,Manufacturing
01,101,Government
01,103,Manufacturing
01,105,Manufacturing
01,107,Nonspecialized
01,109,Nonspecialized
01,111,Manufacturing
01,113,Manufacturing
01,115,Nonspecialized
01,117,Nonspecialized
01,119,Nonspecialized
01,121,Manufacturing
01,123,Manufacturing
01,125,Nonspecialized
01,127,Nonspecialized
01,129,Manufacturing
01,131,Manufacturing
01,133,Manufacturing
02,013,Manufacturing
02,016,Manufacturing
02,020,Government
02,050,Nonspecialized
02,060,Nonspecialized
02,068,Government
02,070,Nonspecialized
02,090,Government
02,100,Nonspecialized
02,110,Government
02,122,Nonspecialized
02,130,Government
02,150,Government
02,164,Manufacturing
02,170,Nonspecialized
02,180,Nonspecialized
02,185,Mining
02,188,Mining
02,201,Nonspecialized
02,220,Government
02,232,Government
02,240,Government
02,261,Nonspecialized
02,270,Nonspecialized
02,280,Nonspecialized
02,282,Manufacturing
02,290,Government
04,001,Government
04,003,Government
04,005,Government
04,007,Nonspecialized
04,009,Government
04,011,Mining
04,012,Nonspecialized
04,013,Service
04,015,Service
04,017,Nonspecialized
04,019,Service
04,021,Nonspecialized
04,023,Government
04,025,Service
04,027,Government
05,001,Manufacturing
05,003,Manufacturing
05,005,Manufacturing
05,007,Service
05,009,Nonspecialized
05,011,Manufacturing
05,013,Manufacturing
05,015,Manufacturing
05,017,Farming
05,019,Manufacturing
05,021,Manufacturing
05,023,Manufacturing
05,025,Farming
05,027,Manufacturing
05,029,Nonspecialized
05,031,Nonspecialized
05,033,Nonspecialized
05,035,Nonspecialized
05,037,Nonspecialized
05,039,Manufacturing
05,041,Manufacturing
05,043,Manufacturing
05,045,Nonspecialized
05,047,Farming
05,049,Nonspecialized
05,051,Service
05,053,Manufacturing
05,055,Manufacturing
05,057,Manufacturing
05,059,Manufacturing
05,061,Farming
05,063,Manufacturing
05,065,Government
05,067,Nonspecialized
05,069,Government
05,071,Manufacturing
05,073,Farming
05,075,Nonspecialized
05,077,Farming
05,079,Farming
05,081,Manufacturing
05,083,Manufacturing
05,085,Nonspecialized
05,087,Farming
05,089,Manufacturing
05,091,Manufacturing
05,093,Manufacturing
05,095,Nonspecialized
05,097,Farming
05,099,Farming
05,101,Government
05,103,Manufacturing
05,105,Farming
05,107,Nonspecialized
05,109,Farming
05,111,Manufacturing
05,113,Farming
05,115,Nonspecialized
05,117,Farming
05,119,Government
05,121,Manufacturing
05,123,Nonspecialized
05,125,Nonspecialized
05,127,Farming
05,129,Nonspecialized
05,131,Manufacturing
05,133,Farming
05,135,Nonspecialized
05,137,Nonspecialized
05,139,Manufacturing
05,141,Nonspecialized
05,143,Nonspecialized
05,145,Service
05,147,Farming
05,149,Manufacturing
06,001,Nonspecialized
06,003,Service
06,005,Nonspecialized
06,007,Service
06,009,Nonspecialized
06,011,Farming
06,013,Service
06,015,Government
06,017,Service
06,019,Nonspecialized
06,021,Farming
06,023,Nonspecialized
06,025,Farming
06,027,Nonspecialized
06,029,Nonspecialized
06,031,Government
06,033,Service
06,035,Government
06,037,Service
06,039,Nonspecialized
06,041,Service
06,043,Government
06,045,Nonspecialized
06,047,Nonspecialized
06,049,Farming
06,051,Service
06,053,Nonspecialized
06,055,Nonspecialized
06,057,Service
06,059,Service
06,061,Service
06,063,Nonspecialized
06,065,Nonspecialized
06,067,Government
06,069,Nonspecialized
06,071,Nonspecialized
06,073,Service
06,075,Service
06,077,Nonspecialized
06,079,Nonspecialized
06,081,Service
06,083,Service
06,085,Manufacturing
06,087,Service
06,089,Service
06,091,Manufacturing
06,093,Nonspecialized
06,095,Government
06,097,Nonspecialized
06,099,Nonspecialized
06,101,Nonspecialized
06,103,Nonspecialized
06,105,Nonspecialized
06,107,Farming
06,109,Nonspecialized
06,111,Nonspecialized
06,113,Government
06,115,Government
08,001,Nonspecialized
08,003,Government
08,005,Service
08,007,Service
08,009,Farming
08,011,Farming
08,013,Service
08,014,Service
08,015,Government
08,017,Farming
08,019,Mining
08,021,Nonspecialized
08,023,Farming
08,025,Farming
08,027,Nonspecialized
08,029,Nonspecialized
08,031,Service
08,033,Nonspecialized
08,035,Service
08,037,Service
08,039,Nonspecialized
08,041,Government
08,043,Government
08,045,Service
08,047,Service
08,049,Service
08,051,Service
08,053,Service
08,055,Service
08,057,Farming
08,059,Service
08,061,Farming
08,063,Farming
08,065,Nonspecialized
08,067,Service
08,069,Nonspecialized
08,071,Nonspecialized
08,073,Government
08,075,Nonspecialized
08,077,Service
08,079,Service
08,081,Mining
08,083,Nonspecialized
08,085,Nonspecialized
08,087,Nonspecialized
08,089,Nonspecialized
08,091,Service
08,093,Nonspecialized
08,095,Farming
08,097,Service
08,099,Farming
08,101,Service
08,103,Mining
08,105,Farming
08,107,Service
08,109,Farming
08,111,Service
08,113,Service
08,115,Farming
08,117,Service
08,119,Service
08,121,Farming
08,123,Nonspecialized
08,125,Farming
09,001,Service
09,003,Service
09,005,Manufacturing
09,007,Service
09,009,Service
09,011,Nonspecialized
09,013,Government
09,015,Manufacturing
10,001,Government
10,003,Service
10,005,Service
11,001,Government
12,001,Government
12,003,Government
12,005,Government
12,007,Government
12,009,Service
12,011,Service
12,013,Government
12,015,Service
12,017,Service
12,019,Service
12,021,Service
12,023,Government
12,027,Farming
12,029,Government
12,031,Service
12,033,Government
12,035,Service
12,037,Service
12,039,Government
12,041,Farming
12,043,Farming
12,045,Government
12,047,Manufacturing
12,049,Farming
12,051,Farming
12,053,Service
12,055,Nonspecialized
12,057,Service
12,059,Government
12,061,Service
12,063,Government
12,065,Government
12,067,Farming
12,069,Service
12,071,Service
12,073,Government
12,075,Nonspecialized
12,077,Government
12,079,Nonspecialized
12,081,Service
12,083,Service
12,085,Service
12,086,Service
12,087,Service
12,089,Nonspecialized
12,091,Government
12,093,Farming
12,095,Service
12,097,Service
12,099,Service
12,101,Service
12,103,Service
12,105,Service
12,107,Nonspecialized
12,109,Service
12,111,Service
12,113,Government
12,115,Service
12,117,Service
12,119,Government
12,121,Nonspecialized
12,123,Manufacturing
12,125,Government
12,127,Service
12,129,Manufacturing
12,131,Service
12,133,Government
13,001,Nonspecialized
13,003,Farming
13,005,Manufacturing
13,007,Farming
13,009,Government
13,011,Farming
13,013,Manufacturing
13,015,Manufacturing
13,017,Manufacturing
13,019,Manufacturing
13,021,Service
13,023,Manufacturing
13,025,Nonspecialized
13,027,Farming
13,029,Nonspecialized
