survey_date,state_fips,county_fips,census_region,census_division,county_name,buildings_1unit,units_1unit,value_1unit,buildings_2unit,units_2unit,value_2unit,buildings_3or4unit,units_3or4unit,value_3or4unit,buildings_5plusunit,units_5plusunit,X30,total_buildings
202001,01,001,3,6,Autauga County,19,19,5986501,0,0,0,0,0,0,0,0,0,19
202001,01,007,3,6,Bibb County,8,8,450000,0,0,0,0,0,0,0,0,0,8
202001,01,009,3,6,Blount County,1,1,155000,0,0,0,0,0,0,0,0,0,1
202001,01,021,3,6,Chilton County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,01,073,3,6,Jefferson County,150,150,45397115,1,2,247329,0,0,0,1,14,0,152
202001,01,081,3,6,Lee County,106,106,29396586,0,0,0,2,8,1945280,3,25,3515245,111
202001,01,083,3,6,Limestone County,19,19,4339221,4,8,648000,3,9,819000,0,0,0,26
202001,01,089,3,6,Madison County,322,322,43010177,0,0,0,0,0,0,0,0,0,322
202001,01,113,3,6,Russell County,13,13,1968172,0,0,0,0,0,0,0,0,0,13
202001,01,115,3,6,St. Clair County,18,18,2949539,0,0,0,0,0,0,0,0,0,18
202001,01,117,3,6,Shelby County,90,90,21112281,0,0,0,0,0,0,0,0,0,90
202001,01,127,3,6,Walker County,2,2,336407,0,0,0,0,0,0,0,0,0,2
202001,02,013,4,9,Aleutians East Borough,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,016,4,9,Aleutians West Census Area,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,020,4,9,Anchorage Municipality,71,71,22242146,0,0,0,1,3,521092,1,14,0,73
202001,02,050,4,9,Bethel Census Area,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,060,4,9,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,070,4,9,Dillingham Census Area,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,090,4,9,Fairbanks North Star Borough,1,1,267954,0,0,0,0,0,0,0,0,0,1
202001,02,100,4,9,Haines Borough,1,1,160842,0,0,0,0,0,0,0,0,0,1
202001,02,105,4,9,Hoonah-Angoon Census Area,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,110,4,9,Juneau City and Borough,2,2,358358,0,0,0,0,0,0,0,0,0,2
202001,02,122,4,9,Kenai Peninsula Borough,4,4,825450,0,0,0,0,0,0,0,0,0,4
202001,02,130,4,9,Ketchikan Gateway Borough,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,150,4,9,Kodiak Island Borough,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,170,4,9,Matanuska-Susitna Borough,4,4,1147985,2,4,683937,0,0,0,0,0,0,6
202001,02,180,4,9,Nome Census Area,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,185,4,9,North Slope Borough,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,188,4,9,Northwest Arctic Borough,1,1,660000,0,0,0,0,0,0,0,0,0,1
202001,02,195,4,9,Petersburg Borough,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,198,4,9,Prince of Wales-Hyder Census A,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,220,4,9,Sitka City and Borough,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,230,4,9,Skagway Municipality,1,1,183400,1,2,200000,0,0,0,0,0,0,2
202001,02,261,4,9,Valdez-Cordova Census Area,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,275,4,9,Wrangell City and Borough,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,02,282,4,9,Yakutat City and Borough,1,1,166923,0,0,0,0,0,0,0,0,0,1
202001,02,290,4,9,Yukon-Koyukuk Census Area,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,04,013,4,8,Maricopa County,1998,1998,562912111,6,12,1420181,6,20,4727772,48,1655,218395411,2058
202001,04,019,4,8,Pima County,314,314,99868625,1,2,298716,0,0,0,3,70,0,318
202001,04,021,4,8,Pinal County,429,429,87623379,0,0,0,3,12,857288,1,10,1064912,433
202001,05,013,3,7,Calhoun County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,05,035,3,7,Crittenden County,5,5,1055000,0,0,0,0,0,0,0,0,0,5
202001,05,043,3,7,Drew County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,05,045,3,7,Faulkner County,26,26,5576349,1,2,151790,0,0,0,1,8,0,28
202001,05,053,3,7,Grant County,2,2,311517,0,0,0,0,0,0,0,0,0,2
202001,05,085,3,7,Lonoke County,22,22,2663131,0,0,0,0,0,0,0,0,0,22
202001,05,087,3,7,Madison County,4,4,685000,0,0,0,0,0,0,0,0,0,4
202001,05,091,3,7,Miller County,3,3,645705,0,0,0,0,0,0,0,0,0,3
202001,05,105,3,7,Perry County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,05,119,3,7,Pulaski County,80,80,19026607,1,2,403000,5,15,3022500,0,0,0,86
202001,05,129,3,7,Searcy County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,05,143,3,7,Washington County,113,113,28998452,13,26,5483964,0,0,0,9,54,7262758,135
202001,06,001,4,9,Alameda County,78,78,27798253,2,4,1177506,2,7,1541031,6,79,22636316,88
202001,06,013,4,9,Contra Costa County,120,120,37305219,1,2,343236,0,0,0,0,0,0,121
202001,06,017,4,9,El Dorado County,45,45,15781410,1,2,150000,0,0,0,0,0,0,46
202001,06,019,4,9,Fresno County,244,244,73445341,0,0,0,0,0,0,0,0,0,244
202001,06,037,4,9,Los Angeles County,574,574,197118259,59,118,24518472,3,10,2584463,53,1867,299937722,689
202001,06,041,4,9,Marin County,5,5,5391865,0,0,0,0,0,0,0,0,0,5
202001,06,059,4,9,Orange County,185,185,54455749,5,10,2576644,8,31,7153822,3,38,1400000,201
202001,06,061,4,9,Placer County,181,181,52265698,0,0,0,0,0,0,1,41,5169205,182
202001,06,063,4,9,Plumas County,1,1,256890,0,0,0,0,0,0,0,0,0,1
202001,06,067,4,9,Sacramento County,283,283,81977559,3,6,975000,2,8,1367767,2,167,44406312,290
202001,06,069,4,9,San Benito County,28,28,11044743,0,0,0,0,0,0,0,0,0,28
202001,06,071,4,9,San Bernardino County,314,314,72365140,1,2,333955,1,3,842221,3,27,0,319
202001,06,073,4,9,San Diego County,263,263,84467940,2,4,535219,1,3,399302,7,384,64769673,273
202001,06,075,4,9,San Francisco County,1,1,277935,1,2,587000,1,3,1274323,4,485,232544221,7
202001,06,081,4,9,San Mateo County,26,26,18306863,0,0,0,0,0,0,3,24,0,29
202001,06,085,4,9,Santa Clara County,111,111,45154478,0,0,0,0,0,0,3,99,9798090,114
202001,06,091,4,9,Sierra County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,06,113,4,9,Yolo County,72,72,22805221,0,0,0,0,0,0,0,0,0,72
202001,08,001,4,8,Adams County,147,147,44611397,0,0,0,0,0,0,0,0,0,147
202001,08,005,4,8,Arapahoe County,210,210,43177017,0,0,0,1,3,360172,11,311,44410930,222
202001,08,014,4,8,Broomfield County,22,22,8595255,3,6,1438878,0,0,0,0,0,0,25
202001,08,015,4,8,Chaffee County,11,11,2408693,0,0,0,0,0,0,0,0,0,11
202001,08,019,4,8,Clear Creek County,2,2,519117,0,0,0,0,0,0,1,5,0,3
202001,08,031,4,8,Denver County,198,198,51763285,3,6,1248197,0,0,0,8,441,0,209
