Garage entries-exits by garage,,,,,
Facility Name,16th and Hoff Garage,Off Street Parking ID,930,Parking Management District,Mission
Usage Type,Date,Total Entries,Total Exits,,
Transient,4/1/2011,189.00,161.00,,
,4/2/2011,175.00,175.00,,
,4/3/2011,161.00,182.00,,
,4/4/2011,126.00,126.00,,
,4/5/2011,103.00,105.00,,
,4/6/2011,128.00,127.00,,
,4/7/2011,121.00,125.00,,
,4/8/2011,166.00,149.00,,
,4/9/2011,206.00,195.00,,
,4/10/2011,180.00,201.00,,
,4/11/2011,88.00,90.00,,
,4/12/2011,103.00,102.00,,
,4/13/2011,108.00,107.00,,
,4/14/2011,128.00,129.00,,
,4/15/2011,175.00,147.00,,
,4/16/2011,213.00,220.00,,
,4/17/2011,170.00,186.00,,
,4/18/2011,81.00,84.00,,
,4/19/2011,103.00,103.00,,
,4/20/2011,89.00,89.00,,
,4/21/2011,112.00,112.00,,
,4/22/2011,195.00,176.00,,
,4/23/2011,184.00,184.00,,
,4/24/2011,92.00,110.00,,
,4/25/2011,83.00,82.00,,
,4/26/2011,99.00,101.00,,
,4/27/2011,93.00,90.00,,
,4/28/2011,127.00,128.00,,
,4/29/2011,168.00,159.00,,
,4/30/2011,190.00,180.00,,
,5/1/2011,123.00,141.00,,
,5/2/2011,84.00,77.00,,
,5/3/2011,92.00,92.00,,
,5/4/2011,124.00,123.00,,
,5/5/2011,145.00,143.00,,
,5/6/2011,174.00,155.00,,
,5/7/2011,229.00,237.00,,
,5/8/2011,139.00,150.00,,
,5/9/2011,83.00,82.00,,
,5/10/2011,110.00,111.00,,
,5/11/2011,95.00,96.00,,
,5/12/2011,116.00,114.00,,
,5/13/2011,156.00,144.00,,
,5/14/2011,201.00,200.00,,
,5/15/2011,139.00,151.00,,
,5/16/2011,69.00,71.00,,
,5/17/2011,104.00,98.00,,
,5/18/2011,131.00,132.00,,
,5/19/2011,127.00,122.00,,
,5/20/2011,140.00,124.00,,
,5/21/2011,194.00,191.00,,
,5/22/2011,128.00,149.00,,
,5/23/2011,86.00,84.00,,
,5/24/2011,132.00,131.00,,
,5/25/2011,100.00,99.00,,
,5/26/2011,109.00,107.00,,
,5/27/2011,133.00,112.00,,
,5/28/2011,169.00,178.00,,
,5/29/2011,190.00,198.00,,
,5/30/2011,69.00,75.00,,
,5/31/2011,105.00,105.00,,
,6/1/2011,109.00,104.00,,
,6/2/2011,130.00,131.00,,
,6/3/2011,150.00,138.00,,
,6/4/2011,183.00,178.00,,
,6/5/2011,152.00,166.00,,
,6/6/2011,113.00,117.00,,
,6/7/2011,96.00,93.00,,
,6/8/2011,122.00,123.00,,
,6/9/2011,116.00,115.00,,
,6/10/2011,169.00,152.00,,
,6/11/2011,153.00,157.00,,
,6/12/2011,129.00,136.00,,
,6/13/2011,88.00,91.00,,
,6/14/2011,113.00,113.00,,
,6/15/2011,122.00,122.00,,
,6/16/2011,128.00,121.00,,
,6/17/2011,159.00,141.00,,
,6/18/2011,179.00,167.00,,
,6/19/2011,122.00,151.00,,
,6/20/2011,121.00,119.00,,
,6/21/2011,104.00,105.00,,
,6/22/2011,114.00,110.00,,
,6/23/2011,130.00,129.00,,
,6/24/2011,158.00,139.00,,
,6/25/2011,188.00,174.00,,
,6/26/2011,107.00,133.00,,
,6/27/2011,66.00,70.00,,
,6/28/2011,108.00,106.00,,
,6/29/2011,104.00,104.00,,
,6/30/2011,121.00,115.00,,
,7/1/2011,149.00,139.00,,
,7/2/2011,149.00,153.00,,
,7/3/2011,107.00,115.00,,
,7/4/2011,29.00,27.00,,
,7/5/2011,92.00,92.00,,
,7/6/2011,98.00,97.00,,
,7/7/2011,122.00,117.00,,
,7/8/2011,151.00,137.00,,
,7/9/2011,150.00,147.00,,
,7/10/2011,115.00,131.00,,
,7/11/2011,93.00,92.00,,
,7/12/2011,127.00,126.00,,
,7/13/2011,102.00,105.00,,
,7/14/2011,133.00,130.00,,
,7/15/2011,154.00,128.00,,
,7/16/2011,154.00,157.00,,
,7/17/2011,129.00,153.00,,
,7/18/2011,54.00,52.00,,
,7/19/2011,113.00,108.00,,
,7/20/2011,102.00,99.00,,
,7/21/2011,120.00,120.00,,
,7/22/2011,140.00,122.00,,
,7/23/2011,173.00,175.00,,
,7/24/2011,124.00,141.00,,
,7/25/2011,98.00,93.00,,
,7/26/2011,115.00,115.00,,
,7/27/2011,111.00,103.00,,
,7/28/2011,137.00,128.00,,
,7/29/2011,156.00,145.00,,
,7/30/2011,164.00,163.00,,
,7/31/2011,116.00,126.00,,
,8/1/2011,76.00,76.00,,
,8/2/2011,99.00,97.00,,
,8/3/2011,111.00,115.00,,
,8/4/2011,121.00,117.00,,
,8/5/2011,142.00,130.00,,
,8/6/2011,148.00,149.00,,
,8/7/2011,121.00,135.00,,
,8/8/2011,83.00,77.00,,
,8/9/2011,81.00,83.00,,
,8/10/2011,109.00,109.00,,
,8/11/2011,116.00,109.00,,
,8/12/2011,144.00,127.00,,
,8/13/2011,153.00,154.00,,
,8/14/2011,112.00,128.00,,
,8/15/2011,114.00,114.00,,
,8/16/2011,95.00,95.00,,
,8/17/2011,117.00,115.00,,
,8/18/2011,109.00,109.00,,
,8/19/2011,162.00,141.00,,
,8/20/2011,199.00,196.00,,
,8/21/2011,128.00,146.00,,
,8/22/2011,80.00,79.00,,
,8/23/2011,93.00,94.00,,
,8/24/2011,93.00,93.00,,
,8/25/2011,114.00,110.00,,
,8/26/2011,134.00,109.00,,
,8/27/2011,170.00,172.00,,
,8/28/2011,128.00,150.00,,
,8/29/2011,80.00,75.00,,
,8/30/2011,94.00,94.00,,
,8/31/2011,107.00,107.00,,
,9/1/2011,102.00,102.00,,
,9/2/2011,128.00,113.00,,
,9/3/2011,129.00,130.00,,
,9/4/2011,100.00,111.00,,
,9/5/2011,63.00,63.00,,
,9/6/2011,77.00,79.00,,
,9/7/2011,100.00,99.00,,
,9/8/2011,122.00,115.00,,
,9/9/2011,150.00,134.00,,
,9/10/2011,153.00,142.00,,
,9/11/2011,127.00,152.00,,
,9/12/2011,91.00,91.00,,
,9/13/2011,105.00,107.00,,
,9/14/2011,107.00,105.00,,
,9/15/2011,118.00,118.00,,
,9/16/2011,161.00,144.00,,
,9/17/2011,168.00,161.00,,
,9/18/2011,119.00,135.00,,
,9/19/2011,84.00,81.00,,
,9/20/2011,110.00,110.00,,
,9/21/2011,105.00,100.00,,
,9/22/2011,105.00,110.00,,
,9/23/2011,132.00,110.00,,
,9/24/2011,193.00,194.00,,
,9/25/2011,181.00,197.00,,
,9/26/2011,83.00,83.00,,
,9/27/2011,103.00,105.00,,
,9/28/2011,110.00,110.00,,
,9/29/2011,111.00,110.00,,
,9/30/2011,162.00,140.00,,
,10/1/2011,189.00,181.00,,
,10/2/2011,181.00,207.00,,
,10/3/2011,87.00,86.00,,
,10/4/2011,92.00,91.00,,
,10/5/2011,114.00,110.00,,
,10/6/2011,118.00,115.00,,
,10/7/2011,165.00,143.00,,
,10/8/2011,169.00,170.00,,
,10/9/2011,122.00,140.00,,
,10/10/2011,64.00,62.00,,
,10/11/2011,104.00,104.00,,
,10/12/2011,126.00,119.00,,
,10/13/2011,138.00,135.00,,
,10/14/2011,158.00,136.00,,
,10/15/2011,195.00,193.00,,
,10/16/2011,170.00,183.00,,
,10/17/2011,91.00,91.00,,
,10/18/2011,117.00,116.00,,
,10/19/2011,122.00,116.00,,
,10/20/2011,135.00,135.00,,
,10/21/2011,163.00,143.00,,
,10/22/2011,201.00,192.00,,
,10/23/2011,149.00,172.00,,
,10/24/2011,74.00,75.00,,
,10/25/2011,125.00,124.00,,
,10/26/2011,126.00,109.00,,
,10/27/2011,128.00,126.00,,
,10/28/2011,159.00,143.00,,
,10/29/2011,195.00,178.00,,
,10/30/2011,178.00,209.00,,
,10/31/2011,76.00,71.00,,
,11/1/2011,125.00,124.00,,
,11/2/2011,106.00,106.00,,
,11/3/2011,121.00,118.00,,
,11/4/2011,169.00,157.00,,
,11/5/2011,202.00,195.00,,
,11/6/2011,159.00,179.00,,
,11/7/2011,103.00,101.00,,
,11/8/2011,112.00,113.00,,
,11/9/2011,111.00,103.00,,
,11/10/2011,133.00,127.00,,
,11/11/2011,136.00,124.00,,
,11/12/2011,210.00,200.00,,
,11/13/2011,164.00,184.00,,
,11/14/2011,105.00,105.00,,
,11/15/2011,120.00,120.00,,
,11/16/2011,112.00,112.00,,
,11/17/2011,121.00,121.00,,
,11/18/2011,165.00,144.00,,
,11/19/2011,199.00,197.00,,
,11/20/2011,161.00,172.00,,
,11/21/2011,110.00,109.00,,
,11/22/2011,143.00,139.00,,
,11/23/2011,89.00,89.00,,
,11/24/2011,6.00,6.00,,
,11/25/2011,87.00,84.00,,
,11/26/2011,173.00,156.00,,
,11/27/2011,122.00,138.00,,
