Garage entries-exits by garage,,,,,
Facility Name,Civic Center Garage,Off Street Parking ID,931,Parking Management District,Civic Center
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,194.00,198.00,,
,4/2/2011,30.00,28.00,,
,4/3/2011,22.00,20.00,,
,4/4/2011,219.00,221.00,,
,4/5/2011,264.00,259.00,,
,4/6/2011,257.00,263.00,,
,4/7/2011,255.00,254.00,,
,4/8/2011,215.00,208.00,,
,4/9/2011,25.00,28.00,,
,4/10/2011,25.00,26.00,,
,4/11/2011,236.00,239.00,,
,4/12/2011,270.00,269.00,,
,4/13/2011,252.00,252.00,,
,4/14/2011,230.00,229.00,,
,4/15/2011,225.00,223.00,,
,4/16/2011,32.00,35.00,,
,4/17/2011,24.00,22.00,,
,4/18/2011,235.00,236.00,,
,4/19/2011,226.00,231.00,,
,4/20/2011,252.00,248.00,,
,4/21/2011,257.00,254.00,,
,4/22/2011,217.00,219.00,,
,4/23/2011,32.00,32.00,,
,4/24/2011,19.00,16.00,,
,4/25/2011,212.00,218.00,,
,4/26/2011,263.00,262.00,,
,4/27/2011,255.00,253.00,,
,4/28/2011,258.00,260.00,,
,4/29/2011,207.00,208.00,,
,4/30/2011,25.00,25.00,,
,5/1/2011,21.00,17.00,,
,5/2/2011,231.00,236.00,,
,5/3/2011,244.00,245.00,,
,5/4/2011,252.00,252.00,,
,5/5/2011,253.00,251.00,,
,5/6/2011,209.00,207.00,,
,5/7/2011,27.00,30.00,,
,5/8/2011,16.00,14.00,,
,5/9/2011,229.00,235.00,,
,5/10/2011,252.00,254.00,,
,5/11/2011,252.00,249.00,,
,5/12/2011,239.00,233.00,,
,5/13/2011,181.00,185.00,,
,5/14/2011,33.00,30.00,,
,5/15/2011,15.00,15.00,,
,5/16/2011,215.00,224.00,,
,5/17/2011,255.00,253.00,,
,5/18/2011,270.00,266.00,,
,5/19/2011,238.00,235.00,,
,5/20/2011,199.00,198.00,,
,5/21/2011,25.00,27.00,,
,5/22/2011,15.00,14.00,,
,5/23/2011,232.00,240.00,,
,5/24/2011,254.00,252.00,,
,5/25/2011,249.00,247.00,,
,5/26/2011,246.00,248.00,,
,5/27/2011,182.00,179.00,,
,5/28/2011,18.00,17.00,,
,5/29/2011,12.00,18.00,,
,5/30/2011,0.00,0.00,,
,5/31/2011,237.00,235.00,,
,6/1/2011,245.00,245.00,,
,6/2/2011,269.00,267.00,,
,6/3/2011,218.00,221.00,,
,6/4/2011,27.00,27.00,,
,6/5/2011,17.00,17.00,,
,6/6/2011,235.00,238.00,,
,6/7/2011,232.00,227.00,,
,6/8/2011,212.00,217.00,,
,6/9/2011,224.00,227.00,,
,6/10/2011,193.00,189.00,,
,6/11/2011,25.00,28.00,,
,6/12/2011,20.00,16.00,,
,6/13/2011,206.00,209.00,,
,6/14/2011,239.00,241.00,,
,6/15/2011,253.00,255.00,,
,6/16/2011,242.00,239.00,,
,6/17/2011,207.00,205.00,,
,6/18/2011,26.00,29.00,,
,6/19/2011,20.00,18.00,,
,6/20/2011,213.00,218.00,,
,6/21/2011,229.00,231.00,,
,6/22/2011,246.00,243.00,,
,6/23/2011,235.00,236.00,,
,6/24/2011,198.00,197.00,,
,6/25/2011,15.00,15.00,,
,6/26/2011,0.00,1.00,,
,6/27/2011,203.00,202.00,,
,6/28/2011,244.00,245.00,,
,6/29/2011,240.00,240.00,,
,6/30/2011,237.00,232.00,,
,7/1/2011,163.00,166.00,,
,7/2/2011,20.00,18.00,,
,7/3/2011,15.00,17.00,,
,7/4/2011,0.00,1.00,,
,7/5/2011,202.00,201.00,,
,7/6/2011,223.00,229.00,,
,7/7/2011,232.00,233.00,,
,7/8/2011,194.00,192.00,,
,7/9/2011,24.00,26.00,,
,7/10/2011,20.00,17.00,,
,7/11/2011,194.00,196.00,,
,7/12/2011,243.00,245.00,,
,7/13/2011,219.00,219.00,,
,7/14/2011,243.00,238.00,,
,7/15/2011,202.00,202.00,,
,7/16/2011,18.00,18.00,,
,7/17/2011,15.00,14.00,,
,7/18/2011,212.00,213.00,,
,7/19/2011,245.00,243.00,,
,7/20/2011,240.00,243.00,,
,7/21/2011,230.00,226.00,,
,7/22/2011,193.00,198.00,,
,7/23/2011,23.00,24.00,,
,7/24/2011,26.00,25.00,,
,7/25/2011,228.00,224.00,,
,7/26/2011,229.00,233.00,,
,7/27/2011,218.00,221.00,,
,7/28/2011,236.00,235.00,,
,7/29/2011,202.00,198.00,,
,7/30/2011,30.00,30.00,,
,7/31/2011,18.00,20.00,,
,8/1/2011,189.00,194.00,,
,8/2/2011,243.00,246.00,,
,8/3/2011,238.00,234.00,,
,8/4/2011,215.00,211.00,,
,8/5/2011,171.00,177.00,,
,8/6/2011,15.00,15.00,,
,8/7/2011,17.00,18.00,,
,8/8/2011,194.00,200.00,,
,8/9/2011,214.00,215.00,,
,8/10/2011,225.00,220.00,,
,8/11/2011,209.00,210.00,,
,8/12/2011,190.00,187.00,,
,8/13/2011,31.00,31.00,,
,8/14/2011,21.00,20.00,,
,8/15/2011,210.00,214.00,,
,8/16/2011,231.00,233.00,,
,8/17/2011,220.00,220.00,,
,8/18/2011,240.00,238.00,,
,8/19/2011,191.00,190.00,,
,8/20/2011,27.00,26.00,,
,8/21/2011,15.00,16.00,,
,8/22/2011,200.00,202.00,,
,8/23/2011,212.00,214.00,,
,8/24/2011,212.00,211.00,,
,8/25/2011,221.00,223.00,,
,8/26/2011,188.00,182.00,,
,8/27/2011,21.00,22.00,,
,8/28/2011,22.00,20.00,,
,8/29/2011,185.00,193.00,,
,8/30/2011,227.00,227.00,,
,8/31/2011,228.00,231.00,,
,9/1/2011,238.00,231.00,,
,9/2/2011,179.00,183.00,,
,9/3/2011,26.00,25.00,,
,9/4/2011,16.00,17.00,,
,9/5/2011,0.00,3.00,,
,9/6/2011,221.00,217.00,,
,9/7/2011,242.00,245.00,,
,9/8/2011,245.00,248.00,,
,9/9/2011,214.00,206.00,,
,9/10/2011,34.00,36.00,,
,9/11/2011,27.00,27.00,,
,9/12/2011,206.00,208.00,,
,9/13/2011,248.00,249.00,,
,9/14/2011,242.00,244.00,,
,9/15/2011,259.00,259.00,,
,9/16/2011,199.00,190.00,,
,9/17/2011,30.00,29.00,,
,9/18/2011,29.00,28.00,,
,9/19/2011,222.00,228.00,,
,9/20/2011,243.00,247.00,,
,9/21/2011,227.00,225.00,,
,9/22/2011,241.00,241.00,,
,9/23/2011,205.00,201.00,,
,9/24/2011,25.00,28.00,,
,9/25/2011,30.00,33.00,,
,9/26/2011,209.00,211.00,,
,9/27/2011,238.00,234.00,,
,9/28/2011,230.00,235.00,,
,9/29/2011,216.00,215.00,,
,9/30/2011,197.00,197.00,,
,10/1/2011,31.00,29.00,,
,10/2/2011,22.00,20.00,,
,10/3/2011,210.00,214.00,,
,10/4/2011,219.00,226.00,,
,10/5/2011,222.00,218.00,,
,10/6/2011,223.00,222.00,,
,10/7/2011,174.00,177.00,,
,10/8/2011,25.00,26.00,,
,10/9/2011,19.00,18.00,,
,10/10/2011,91.00,87.00,,
,10/11/2011,225.00,230.00,,
,10/12/2011,224.00,222.00,,
,10/13/2011,221.00,221.00,,
,10/14/2011,171.00,169.00,,
,10/15/2011,24.00,24.00,,
,10/16/2011,24.00,25.00,,
,10/17/2011,187.00,193.00,,
,10/18/2011,218.00,220.00,,
,10/19/2011,233.00,232.00,,
,10/20/2011,234.00,233.00,,
,10/21/2011,180.00,177.00,,
,10/22/2011,37.00,35.00,,
,10/23/2011,20.00,19.00,,
,10/24/2011,177.00,181.00,,
,10/25/2011,236.00,239.00,,
,10/26/2011,221.00,220.00,,
,10/27/2011,227.00,229.00,,
,10/28/2011,194.00,190.00,,
,10/29/2011,29.00,29.00,,
,10/30/2011,23.00,23.00,,
,10/31/2011,198.00,198.00,,
,11/1/2011,235.00,240.00,,
,11/2/2011,232.00,227.00,,
,11/3/2011,231.00,231.00,,
,11/4/2011,192.00,191.00,,
,11/5/2011,48.00,49.00,,
,11/6/2011,29.00,29.00,,
,11/7/2011,190.00,193.00,,
,11/8/2011,210.00,217.00,,
,11/9/2011,226.00,223.00,,
,11/10/2011,235.00,237.00,,
,11/11/2011,30.00,28.00,,
,11/12/2011,26.00,26.00,,
,11/13/2011,19.00,19.00,,
,11/14/2011,190.00,192.00,,
,11/15/2011,232.00,234.00,,
