Garage entries-exits by garage,,,,,
Facility Name,Ellis OFarrell Garage,Off Street Parking ID,932,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,151,156,,
,4/2/2011,84,90,,
,4/3/2011,44,43,,
,4/4/2011,151,152,,
,4/5/2011,156,160,,
,4/6/2011,165,162,,
,4/7/2011,161,166,,
,4/8/2011,163,167,,
,4/9/2011,80,82,,
,4/10/2011,35,35,,
,4/11/2011,144,149,,
,4/12/2011,161,161,,
,4/13/2011,152,148,,
,4/14/2011,160,158,,
,4/15/2011,157,164,,
,4/16/2011,85,86,,
,4/17/2011,47,48,,
,4/18/2011,147,148,,
,4/19/2011,161,162,,
,4/20/2011,164,162,,
,4/21/2011,165,166,,
,4/22/2011,156,160,,
,4/23/2011,81,80,,
,4/24/2011,27,31,,
,4/25/2011,158,156,,
,4/26/2011,164,165,,
,4/27/2011,168,165,,
,4/28/2011,177,177,,
,4/29/2011,159,160,,
,4/30/2011,64,67,,
,5/1/2011,46,46,,
,5/2/2011,153,159,,
,5/3/2011,170,170,,
,5/4/2011,167,168,,
,5/5/2011,170,173,,
,5/6/2011,158,160,,
,5/7/2011,78,80,,
,5/8/2011,42,41,,
,5/9/2011,174,175,,
,5/10/2011,176,176,,
,5/11/2011,169,171,,
,5/12/2011,176,175,,
,5/13/2011,168,173,,
,5/14/2011,80,80,,
,5/15/2011,47,46,,
,5/16/2011,155,155,,
,5/17/2011,178,178,,
,5/18/2011,175,174,,
,5/19/2011,161,157,,
,5/20/2011,172,177,,
,5/21/2011,80,79,,
,5/22/2011,48,49,,
,5/23/2011,144,146,,
,5/24/2011,161,162,,
,5/25/2011,166,166,,
,5/26/2011,169,166,,
,5/27/2011,158,158,,
,5/28/2011,70,69,,
,5/29/2011,41,41,,
,5/30/2011,52,55,,
,5/31/2011,167,168,,
,6/1/2011,165,177,,
,6/2/2011,163,162,,
,6/3/2011,170,168,,
,6/4/2011,78,79,,
,6/5/2011,47,47,,
,6/6/2011,154,160,,
,6/7/2011,172,168,,
,6/8/2011,156,160,,
,6/9/2011,162,162,,
,6/10/2011,145,144,,
,6/11/2011,65,68,,
,6/12/2011,42,43,,
,6/13/2011,156,153,,
,6/14/2011,168,171,,
,6/15/2011,162,160,,
,6/16/2011,164,169,,
,6/17/2011,161,162,,
,6/18/2011,79,75,,
,6/19/2011,45,44,,
,6/20/2011,156,161,,
,6/21/2011,167,172,,
,6/22/2011,173,170,,
,6/23/2011,166,163,,
,6/24/2011,163,165,,
,6/25/2011,74,79,,
,6/26/2011,33,36,,
,6/27/2011,158,159,,
,6/28/2011,163,164,,
,6/29/2011,174,174,,
,6/30/2011,155,154,,
,7/1/2011,139,138,,
,7/2/2011,60,63,,
,7/3/2011,42,42,,
,7/4/2011,29,30,,
,7/5/2011,150,146,,
,7/6/2011,148,153,,
,7/7/2011,170,163,,
,7/8/2011,148,151,,
,7/9/2011,55,59,,
,7/10/2011,35,34,,
,7/11/2011,154,159,,
,7/12/2011,166,163,,
,7/13/2011,154,154,,
,7/14/2011,164,158,,
,7/15/2011,155,161,,
,7/16/2011,71,70,,
,7/17/2011,38,45,,
,7/18/2011,159,161,,
,7/19/2011,168,170,,
,7/20/2011,163,160,,
,7/21/2011,157,156,,
,7/22/2011,153,156,,
,7/23/2011,74,76,,
,7/24/2011,39,38,,
,7/25/2011,155,157,,
,7/26/2011,163,164,,
,7/27/2011,164,166,,
,7/28/2011,159,160,,
,7/29/2011,169,170,,
,7/30/2011,76,73,,
,7/31/2011,41,39,,
,8/1/2011,145,153,,
,8/2/2011,156,159,,
,8/3/2011,157,159,,
,8/4/2011,160,165,,
,8/5/2011,166,168,,
,8/6/2011,75,78,,
,8/7/2011,56,52,,
,8/8/2011,156,158,,
,8/9/2011,163,163,,
,8/10/2011,147,152,,
,8/11/2011,154,155,,
,8/12/2011,141,143,,
,8/13/2011,70,70,,
,8/14/2011,54,54,,
,8/15/2011,143,148,,
,8/16/2011,159,158,,
,8/17/2011,150,151,,
,8/18/2011,160,167,,
,8/19/2011,156,161,,
,8/20/2011,69,73,,
,8/21/2011,59,57,,
,8/22/2011,150,151,,
,8/23/2011,170,170,,
,8/24/2011,161,161,,
,8/25/2011,170,174,,
,8/26/2011,168,166,,
,8/27/2011,75,76,,
,8/28/2011,48,49,,
,8/29/2011,156,158,,
,8/30/2011,168,167,,
,8/31/2011,169,166,,
,9/1/2011,157,161,,
,9/2/2011,141,148,,
,9/3/2011,74,70,,
,9/4/2011,41,46,,
,9/5/2011,53,53,,
,9/6/2011,163,163,,
,9/7/2011,172,169,,
,9/8/2011,172,175,,
,9/9/2011,171,173,,
,9/10/2011,79,80,,
,9/11/2011,46,48,,
,9/12/2011,156,156,,
,9/13/2011,161,158,,
,9/14/2011,163,164,,
,9/15/2011,155,155,,
,9/16/2011,165,166,,
,9/17/2011,74,73,,
,9/18/2011,51,53,,
,9/19/2011,148,153,,
,9/20/2011,158,145,,
,9/21/2011,163,166,,
,9/22/2011,161,158,,
,9/23/2011,155,163,,
,9/24/2011,78,79,,
,9/25/2011,48,47,,
,9/26/2011,142,139,,
,9/27/2011,166,165,,
,9/28/2011,155,158,,
,9/29/2011,139,138,,
,9/30/2011,153,161,,
,10/1/2011,83,85,,
,10/2/2011,32,32,,
,10/3/2011,127,141,,
,10/4/2011,158,158,,
,10/5/2011,146,156,,
,10/6/2011,157,153,,
,10/7/2011,157,164,,
,10/8/2011,65,63,,
,10/9/2011,43,46,,
,10/10/2011,133,130,,
,10/11/2011,153,151,,
,10/12/2011,153,152,,
,10/13/2011,164,164,,
,10/14/2011,155,157,,
,10/15/2011,85,86,,
,10/16/2011,42,43,,
,10/17/2011,143,143,,
,10/18/2011,145,149,,
,10/19/2011,152,149,,
,10/20/2011,161,165,,
,10/21/2011,151,151,,
,10/22/2011,75,78,,
,10/23/2011,41,39,,
,10/24/2011,150,154,,
,10/25/2011,168,168,,
,10/26/2011,163,168,,
,10/27/2011,162,161,,
,10/28/2011,157,158,,
,10/29/2011,68,68,,
,10/30/2011,40,43,,
,10/31/2011,143,146,,
,11/1/2011,165,167,,
,11/2/2011,171,171,,
,11/3/2011,162,165,,
,11/4/2011,169,171,,
,11/5/2011,77,80,,
,11/6/2011,51,52,,
,11/7/2011,161,158,,
,11/8/2011,182,179,,
,11/9/2011,164,169,,
,11/10/2011,163,165,,
,11/11/2011,147,152,,
,11/12/2011,76,78,,
,11/13/2011,46,46,,
,11/14/2011,170,173,,
,11/15/2011,180,178,,
,11/16/2011,182,183,,
,11/17/2011,166,167,,
,11/18/2011,168,172,,
,11/19/2011,82,82,,
,11/20/2011,54,51,,
,11/21/2011,173,182,,
,11/22/2011,154,152,,
,11/23/2011,150,156,,
,11/24/2011,1,0,,
,11/25/2011,82,79,,
,11/26/2011,83,83,,
,11/27/2011,39,41,,
,11/28/2011,162,163,,
,11/29/2011,173,172,,
,11/30/2011,171,177,,
,12/1/2011,167,166,,
,12/2/2011,144,164,,
,12/3/2011,85,85,,
,12/4/2011,49,50,,
,12/5/2011,168,176,,
,12/6/2011,170,171,,
,12/7/2011,175,175,,
,12/8/2011,164,164,,
,12/9/2011,169,173,,
,12/10/2011,80,82,,
,12/11/2011,53,56,,
,12/12/2011,183,184,,
,12/13/2011,172,173,,
,12/14/2011,174,171,,
,12/15/2011,178,176,,
,12/16/2011,165,168,,
,12/17/2011,79,77,,
,12/18/2011,62,62,,
,12/19/2011,169,174,,
,12/20/2011,158,157,,
,12/21/2011,172,168,,
,12/22/2011,145,153,,
,12/23/2011,128,134,,
,12/24/2011,54,57,,
,12/25/2011,0,1,,
,12/26/2011,78,73,,
,12/27/2011,118,122,,
,12/28/2011,116,116,,
,12/29/2011,110,111,,
,12/30/2011,112,112,,
,12/31/2011,62,64,,
,1/1/2012,32,31,,
,1/2/2012,53,56,,
,1/3/2012,127,149,,
,1/4/2012,159,165,,
,1/5/2012,163,168,,
,1/6/2012,151,158,,
,1/7/2012,73,72,,
,1/8/2012,50,48,,
,1/9/2012,159,159,,
,1/10/2012,169,169,,
,1/11/2012,156,153,,
,1/12/2012,160,162,,
,1/13/2012,142,145,,
,1/14/2012,77,75,,
,1/15/2012,38,37,,
,1/16/2012,116,117,,
,1/17/2012,169,170,,
,1/18/2012,164,164,,
,1/19/2012,151,150,,
,1/20/2012,169,171,,
,1/21/2012,69,72,,
,1/22/2012,38,35,,
