Garage entries-exits by garage,,,,,
Facility Name,Golden Gateway Garage,Off Street Parking ID,934,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,432,457,,
,4/2/2011,39,46,,
,4/3/2011,26,28,,
,4/4/2011,472,473,,
,4/5/2011,459,452,,
,4/6/2011,451,450,,
,4/7/2011,462,459,,
,4/8/2011,402,394,,
,4/9/2011,43,48,,
,4/10/2011,26,32,,
,4/11/2011,465,467,,
,4/12/2011,449,447,,
,4/13/2011,434,435,,
,4/14/2011,455,462,,
,4/15/2011,421,414,,
,4/16/2011,39,41,,
,4/17/2011,28,28,,
,4/18/2011,458,455,,
,4/19/2011,443,446,,
,4/20/2011,436,433,,
,4/21/2011,432,428,,
,4/22/2011,215,221,,
,4/23/2011,39,40,,
,4/24/2011,18,22,,
,4/25/2011,447,447,,
,4/26/2011,458,455,,
,4/27/2011,462,467,,
,4/28/2011,462,456,,
,4/29/2011,414,415,,
,4/30/2011,44,50,,
,5/1/2011,26,26,,
,5/2/2011,464,464,,
,5/3/2011,438,433,,
,5/4/2011,439,439,,
,5/5/2011,448,448,,
,5/6/2011,412,419,,
,5/7/2011,46,53,,
,5/8/2011,20,22,,
,5/9/2011,460,453,,
,5/10/2011,472,473,,
,5/11/2011,435,434,,
,5/12/2011,438,432,,
,5/13/2011,410,413,,
,5/14/2011,33,39,,
,5/15/2011,23,24,,
,5/16/2011,445,445,,
,5/17/2011,453,450,,
,5/18/2011,425,425,,
,5/19/2011,454,446,,
,5/20/2011,420,426,,
,5/21/2011,34,34,,
,5/22/2011,27,31,,
,5/23/2011,441,441,,
,5/24/2011,479,476,,
,5/25/2011,462,463,,
,5/26/2011,457,453,,
,5/27/2011,362,367,,
,5/28/2011,26,27,,
,5/29/2011,13,16,,
,5/30/2011,31,36,,
,5/31/2011,472,470,,
,6/1/2011,461,457,,
,6/2/2011,447,448,,
,6/3/2011,416,410,,
,6/4/2011,37,39,,
,6/5/2011,29,33,,
,6/6/2011,469,471,,
,6/7/2011,466,459,,
,6/8/2011,423,429,,
,6/9/2011,441,438,,
,6/10/2011,402,404,,
,6/11/2011,39,46,,
,6/12/2011,36,34,,
,6/13/2011,453,455,,
,6/14/2011,440,438,,
,6/15/2011,438,432,,
,6/16/2011,427,429,,
,6/17/2011,372,363,,
,6/18/2011,38,41,,
,6/19/2011,16,25,,
,6/20/2011,441,445,,
,6/21/2011,433,423,,
,6/22/2011,416,413,,
,6/23/2011,415,415,,
,6/24/2011,371,379,,
,6/25/2011,36,37,,
,6/26/2011,23,24,,
,6/27/2011,462,460,,
,6/28/2011,439,429,,
,6/29/2011,437,448,,
,6/30/2011,431,437,,
,7/1/2011,368,364,,
,7/2/2011,25,31,,
,7/3/2011,12,10,,
,7/4/2011,20,22,,
,7/5/2011,422,417,,
,7/6/2011,437,439,,
,7/7/2011,442,445,,
,7/8/2011,410,404,,
,7/9/2011,47,51,,
,7/10/2011,36,35,,
,7/11/2011,457,461,,
,7/12/2011,443,437,,
,7/13/2011,429,433,,
,7/14/2011,450,442,,
,7/15/2011,405,412,,
,7/16/2011,36,37,,
,7/17/2011,25,29,,
,7/18/2011,459,465,,
,7/19/2011,451,448,,
,7/20/2011,470,462,,
,7/21/2011,435,439,,
,7/22/2011,409,408,,
,7/23/2011,38,37,,
,7/24/2011,32,35,,
,7/25/2011,430,430,,
,7/26/2011,444,436,,
,7/27/2011,434,435,,
,7/28/2011,443,441,,
,7/29/2011,368,376,,
,7/30/2011,33,34,,
,7/31/2011,29,29,,
,8/1/2011,405,414,,
,8/2/2011,415,417,,
,8/3/2011,402,395,,
,8/4/2011,410,414,,
,8/5/2011,378,372,,
,8/6/2011,47,55,,
,8/7/2011,35,37,,
,8/8/2011,425,428,,
,8/9/2011,421,418,,
,8/10/2011,406,404,,
,8/11/2011,423,426,,
,8/12/2011,383,376,,
,8/13/2011,41,46,,
,8/14/2011,34,34,,
,8/15/2011,444,442,,
,8/16/2011,449,450,,
,8/17/2011,438,436,,
,8/18/2011,424,432,,
,8/19/2011,393,389,,
,8/20/2011,37,41,,
,8/21/2011,19,21,,
,8/22/2011,430,433,,
,8/23/2011,420,413,,
,8/24/2011,420,425,,
,8/25/2011,448,444,,
,8/26/2011,405,404,,
,8/27/2011,39,42,,
,8/28/2011,21,24,,
,8/29/2011,458,460,,
,8/30/2011,469,465,,
,8/31/2011,450,450,,
,9/1/2011,435,437,,
,9/2/2011,382,402,,
,9/3/2011,22,24,,
,9/4/2011,16,14,,
,9/5/2011,0,0,,
,9/6/2011,473,488,,
,9/7/2011,442,447,,
,9/8/2011,437,433,,
,9/9/2011,425,426,,
,9/10/2011,41,48,,
,9/11/2011,44,46,,
,9/12/2011,454,457,,
,9/13/2011,444,434,,
,9/14/2011,429,432,,
,9/15/2011,414,423,,
,9/16/2011,414,409,,
,9/17/2011,31,35,,
,9/18/2011,38,41,,
,9/19/2011,457,455,,
,9/20/2011,452,446,,
,9/21/2011,433,436,,
,9/22/2011,420,430,,
,9/23/2011,406,430,,
,9/24/2011,46,44,,
,9/25/2011,22,26,,
,9/26/2011,475,473,,
,9/27/2011,463,463,,
,9/28/2011,478,481,,
,9/29/2011,455,455,,
,9/30/2011,430,438,,
,10/1/2011,32,32,,
,10/2/2011,30,31,,
,10/3/2011,492,488,,
,10/4/2011,478,474,,
,10/5/2011,452,451,,
,10/6/2011,461,464,,
,10/7/2011,431,436,,
,10/8/2011,45,45,,
,10/9/2011,34,31,,
,10/10/2011,403,408,,
,10/11/2011,490,482,,
,10/12/2011,461,463,,
,10/13/2011,439,438,,
,10/14/2011,417,412,,
,10/15/2011,42,47,,
,10/16/2011,29,31,,
,10/17/2011,467,467,,
,10/18/2011,465,468,,
,10/19/2011,466,470,,
,10/20/2011,438,432,,
,10/21/2011,448,450,,
,10/22/2011,50,57,,
,10/23/2011,33,30,,
,10/24/2011,463,470,,
,10/25/2011,491,484,,
,10/26/2011,478,477,,
,10/27/2011,479,475,,
,10/28/2011,455,456,,
,10/29/2011,34,36,,
,10/30/2011,13,17,,
,10/31/2011,486,490,,
,11/1/2011,489,489,,
,11/2/2011,477,476,,
,11/3/2011,456,455,,
,11/4/2011,448,451,,
,11/5/2011,43,44,,
,11/6/2011,37,36,,
,11/7/2011,462,467,,
,11/8/2011,447,443,,
,11/9/2011,463,462,,
,11/10/2011,453,450,,
,11/11/2011,387,387,,
,11/12/2011,30,33,,
,11/13/2011,22,24,,
,11/14/2011,490,492,,
,11/15/2011,464,460,,
,11/16/2011,458,455,,
,11/17/2011,434,427,,
,11/18/2011,420,415,,
,11/19/2011,43,50,,
,11/20/2011,21,25,,
,11/21/2011,443,442,,
,11/22/2011,442,440,,
,11/23/2011,335,333,,
,11/24/2011,0,0,,
,11/25/2011,89,89,,
,11/26/2011,28,29,,
,11/27/2011,21,22,,
,11/28/2011,455,459,,
,11/29/2011,457,458,,
,11/30/2011,465,463,,
,12/1/2011,468,464,,
,12/2/2011,460,457,,
,12/3/2011,52,54,,
,12/4/2011,21,28,,
,12/5/2011,479,482,,
,12/6/2011,457,446,,
,12/7/2011,458,455,,
,12/8/2011,453,465,,
,12/9/2011,451,443,,
,12/10/2011,38,46,,
,12/11/2011,35,31,,
,12/12/2011,475,482,,
,12/13/2011,475,472,,
,12/14/2011,469,470,,
,12/15/2011,474,464,,
,12/16/2011,449,450,,
,12/17/2011,53,53,,
,12/18/2011,29,35,,
,12/19/2011,406,409,,
,12/20/2011,441,425,,
,12/21/2011,409,413,,
,12/22/2011,372,374,,
,12/23/2011,249,247,,
,12/24/2011,15,15,,
,12/25/2011,0,0,,
,12/26/2011,27,30,,
,12/27/2011,255,254,,
,12/28/2011,256,256,,
,12/29/2011,270,266,,
,12/30/2011,211,211,,
,12/31/2011,29,30,,
,1/1/2012,0,1,,
,1/2/2012,39,46,,
,1/3/2012,448,458,,
,1/4/2012,482,478,,
,1/5/2012,474,479,,
,1/6/2012,478,467,,
,1/7/2012,39,47,,
,1/8/2012,31,33,,
,1/9/2012,476,474,,
,1/10/2012,435,431,,
,1/11/2012,443,447,,
,1/12/2012,459,455,,
,1/13/2012,446,446,,
,1/14/2012,28,26,,
,1/15/2012,28,30,,
,1/16/2012,117,122,,
,1/17/2012,500,495,,
,1/18/2012,498,499,,
,1/19/2012,462,456,,
,1/20/2012,445,442,,
,1/21/2012,46,50,,
,1/22/2012,20,18,,
,1/23/2012,463,468,,
,1/24/2012,480,480,,
,1/25/2012,473,476,,
,1/26/2012,470,464,,
,1/27/2012,456,458,,
,1/28/2012,50,51,,
,1/29/2012,39,44,,
,1/30/2012,471,472,,
,1/31/2012,473,470,,
,2/1/2012,458,462,,
,2/2/2012,460,459,,
,2/3/2012,419,425,,
,2/4/2012,53,48,,
,2/5/2012,19,25,,
,2/6/2012,486,487,,
,2/7/2012,461,461,,
,2/8/2012,458,443,,
,2/9/2012,453,453,,
,2/10/2012,407,406,,
,2/11/2012,51,59,,
,2/12/2012,24,32,,
,2/13/2012,473,476,,
,2/14/2012,485,485,,
,2/15/2012,475,467,,
,2/16/2012,457,458,,
,2/17/2012,441,442,,
,2/18/2012,30,31,,
