Garage entries-exits by garage,,,,,
Facility Name,Japan Center Garage,Off Street Parking ID,935,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,410,407,,
,4/2/2011,142,137,,
,4/3/2011,116,122,,
,4/4/2011,399,401,,
,4/5/2011,432,426,,
,4/6/2011,455,452,,
,4/7/2011,440,443,,
,4/8/2011,418,414,,
,4/9/2011,140,139,,
,4/10/2011,126,126,,
,4/11/2011,421,433,,
,4/12/2011,433,431,,
,4/13/2011,429,431,,
,4/14/2011,444,437,,
,4/15/2011,431,421,,
,4/16/2011,127,134,,
,4/17/2011,132,131,,
,4/18/2011,424,429,,
,4/19/2011,431,431,,
,4/20/2011,443,443,,
,4/21/2011,429,430,,
,4/22/2011,439,437,,
,4/23/2011,138,136,,
,4/24/2011,102,105,,
,4/25/2011,429,429,,
,4/26/2011,429,432,,
,4/27/2011,425,424,,
,4/28/2011,469,467,,
,4/29/2011,417,417,,
,4/30/2011,137,149,,
,5/1/2011,118,109,,
,5/2/2011,421,421,,
,5/3/2011,435,427,,
,5/4/2011,436,440,,
,5/5/2011,443,442,,
,5/6/2011,400,412,,
,5/7/2011,120,123,,
,5/8/2011,115,101,,
,5/9/2011,421,421,,
,5/10/2011,428,432,,
,5/11/2011,436,435,,
,5/12/2011,442,446,,
,5/13/2011,423,422,,
,5/14/2011,130,123,,
,5/15/2011,106,106,,
,5/16/2011,414,419,,
,5/17/2011,429,427,,
,5/18/2011,433,431,,
,5/19/2011,446,449,,
,5/20/2011,398,404,,
,5/21/2011,131,131,,
,5/22/2011,114,111,,
,5/23/2011,415,412,,
,5/24/2011,439,436,,
,5/25/2011,437,440,,
,5/26/2011,421,413,,
,5/27/2011,402,415,,
,5/28/2011,130,130,,
,5/29/2011,109,108,,
,5/30/2011,119,112,,
,5/31/2011,434,441,,
,6/1/2011,453,448,,
,6/2/2011,432,431,,
,6/3/2011,400,404,,
,6/4/2011,135,136,,
,6/5/2011,106,105,,
,6/6/2011,410,408,,
,6/7/2011,425,423,,
,6/8/2011,437,441,,
,6/9/2011,430,425,,
,6/10/2011,400,406,,
,6/11/2011,134,141,,
,6/12/2011,111,100,,
,6/13/2011,406,404,,
,6/14/2011,428,425,,
,6/15/2011,425,428,,
,6/16/2011,439,436,,
,6/17/2011,432,440,,
,6/18/2011,154,152,,
,6/19/2011,115,115,,
,6/20/2011,429,431,,
,6/21/2011,436,434,,
,6/22/2011,427,425,,
,6/23/2011,433,422,,
,6/24/2011,405,406,,
,6/25/2011,146,152,,
,6/26/2011,123,120,,
,6/27/2011,417,409,,
,6/28/2011,432,437,,
,6/29/2011,450,451,,
,6/30/2011,438,433,,
,7/1/2011,404,405,,
,7/2/2011,157,164,,
,7/3/2011,129,132,,
,7/4/2011,111,106,,
,7/5/2011,410,406,,
,7/6/2011,438,437,,
,7/7/2011,446,452,,
,7/8/2011,410,418,,
,7/9/2011,151,147,,
,7/10/2011,105,109,,
,7/11/2011,413,408,,
,7/12/2011,424,417,,
,7/13/2011,429,432,,
,7/14/2011,419,418,,
,7/15/2011,403,405,,
