Garage entries-exits by garage,,,,,
Facility Name,Japan Center Annex Garage,Off Street Parking ID,936,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,111,105,,
,4/2/2011,73,81,,
,4/3/2011,42,41,,
,4/4/2011,94,86,,
,4/5/2011,90,96,,
,4/6/2011,104,98,,
,4/7/2011,113,119,,
,4/8/2011,105,111,,
,4/9/2011,80,77,,
,4/10/2011,47,48,,
,4/11/2011,93,90,,
,4/12/2011,109,112,,
,4/13/2011,115,108,,
,4/14/2011,119,121,,
,4/15/2011,112,116,,
,4/16/2011,66,65,,
,4/17/2011,52,50,,
,4/18/2011,101,101,,
,4/19/2011,108,107,,
,4/20/2011,106,103,,
,4/21/2011,118,120,,
,4/22/2011,105,106,,
,4/23/2011,64,70,,
,4/24/2011,52,45,,
,4/25/2011,103,102,,
,4/26/2011,118,117,,
,4/27/2011,111,108,,
,4/28/2011,117,124,,
,4/29/2011,108,104,,
,4/30/2011,78,83,,
,5/1/2011,57,60,,
,5/2/2011,100,90,,
,5/3/2011,110,113,,
,5/4/2011,105,106,,
,5/5/2011,120,116,,
,5/6/2011,107,112,,
,5/7/2011,75,77,,
,5/8/2011,61,60,,
,5/9/2011,105,104,,
,5/10/2011,102,105,,
,5/11/2011,111,110,,
,5/12/2011,114,110,,
,5/13/2011,103,108,,
,5/14/2011,65,69,,
,5/15/2011,49,42,,
,5/16/2011,92,93,,
,5/17/2011,107,109,,
,5/18/2011,93,93,,
,5/19/2011,107,109,,
,5/20/2011,110,109,,
,5/21/2011,72,69,,
,5/22/2011,53,48,,
,5/23/2011,100,105,,
,5/24/2011,117,113,,
,5/25/2011,108,109,,
,5/26/2011,112,114,,
,5/27/2011,103,105,,
,5/28/2011,66,67,,
,5/29/2011,53,52,,
,5/30/2011,48,47,,
,5/31/2011,113,109,,
,6/1/2011,101,107,,
,6/2/2011,111,105,,
,6/3/2011,106,105,,
,6/4/2011,69,73,,
,6/5/2011,52,52,,
,6/6/2011,101,105,,
,6/7/2011,110,107,,
,6/8/2011,105,108,,
,6/9/2011,100,98,,
,6/10/2011,101,99,,
,6/11/2011,68,74,,
,6/12/2011,56,49,,
,6/13/2011,84,83,,
,6/14/2011,93,100,,
,6/15/2011,117,108,,
,6/16/2011,102,110,,
,6/17/2011,103,95,,
,6/18/2011,63,69,,
,6/19/2011,44,43,,
,6/20/2011,94,90,,
,6/21/2011,96,99,,
,6/22/2011,107,104,,
,6/23/2011,104,101,,
,6/24/2011,105,107,,
,6/25/2011,58,62,,
,6/26/2011,53,52,,
,6/27/2011,94,93,,
,6/28/2011,97,97,,
,6/29/2011,114,113,,
,6/30/2011,101,107,,
,7/1/2011,97,98,,
,7/2/2011,12,20,,
,7/3/2011,11,10,,
,7/4/2011,43,37,,
,7/5/2011,95,91,,
,7/6/2011,96,94,,
,7/7/2011,101,100,,
,7/8/2011,96,96,,
,7/9/2011,61,60,,
,7/10/2011,48,48,,
,7/11/2011,81,83,,
,7/12/2011,100,99,,
,7/13/2011,98,97,,
,7/14/2011,107,109,,
,7/15/2011,93,93,,
,7/16/2011,63,66,,
,7/17/2011,48,48,,
,7/18/2011,95,93,,
,7/19/2011,108,102,,
,7/20/2011,102,103,,
,7/21/2011,108,111,,
,7/22/2011,109,113,,
,7/23/2011,71,70,,
,7/24/2011,56,55,,
,7/25/2011,95,92,,
,7/26/2011,104,105,,
,7/27/2011,111,113,,
,7/28/2011,108,110,,
,7/29/2011,92,93,,
,7/30/2011,68,68,,
,7/31/2011,47,47,,
,8/1/2011,79,80,,
,8/2/2011,102,98,,
,8/3/2011,91,91,,
,8/4/2011,100,100,,
,8/5/2011,105,108,,
,8/6/2011,73,75,,
,8/7/2011,48,50,,
,8/8/2011,88,85,,
,8/9/2011,105,103,,
,8/10/2011,113,115,,
,8/11/2011,100,99,,
,8/12/2011,96,95,,
,8/13/2011,61,66,,
,8/14/2011,46,43,,
,8/15/2011,81,76,,
,8/16/2011,101,103,,
,8/17/2011,97,101,,
,8/18/2011,108,106,,
,8/19/2011,104,107,,
,8/20/2011,71,72,,
,8/21/2011,51,51,,
,8/22/2011,88,84,,
,8/23/2011,109,112,,
,8/24/2011,102,98,,
,8/25/2011,103,103,,
,8/26/2011,104,108,,
,8/27/2011,73,72,,
,8/28/2011,48,46,,
,8/29/2011,101,100,,
,8/30/2011,112,113,,
,8/31/2011,95,99,,
,9/1/2011,116,114,,
,9/2/2011,114,115,,
,9/3/2011,64,67,,
,9/4/2011,44,46,,
,9/5/2011,63,53,,
,9/6/2011,107,112,,
,9/7/2011,106,106,,
,9/8/2011,109,111,,
,9/9/2011,116,116,,
,9/10/2011,65,67,,
,9/11/2011,55,50,,
,9/12/2011,86,86,,
,9/13/2011,99,100,,
,9/14/2011,110,109,,
,9/15/2011,120,117,,
,9/16/2011,110,112,,
,9/17/2011,66,67,,
,9/18/2011,52,49,,
,9/19/2011,93,92,,
,9/20/2011,107,103,,
,9/21/2011,115,122,,
,9/22/2011,112,111,,
,9/23/2011,114,112,,
,9/24/2011,67,73,,
,9/25/2011,43,44,,
,9/26/2011,90,92,,
,9/27/2011,116,112,,
,9/28/2011,102,101,,
,9/29/2011,109,112,,
,9/30/2011,109,107,,
,10/1/2011,73,70,,
,10/2/2011,50,51,,
,10/3/2011,96,97,,
,10/4/2011,102,105,,
,10/5/2011,106,103,,
,10/6/2011,114,112,,
,10/7/2011,113,114,,
,10/8/2011,67,75,,
,10/9/2011,43,40,,
,10/10/2011,91,87,,
,10/11/2011,105,108,,
,10/12/2011,108,108,,
,10/13/2011,120,113,,
,10/14/2011,107,110,,
,10/15/2011,76,76,,
,10/16/2011,50,50,,
,10/17/2011,94,93,,
,10/18/2011,104,103,,
,10/19/2011,102,102,,
,10/20/2011,111,107,,
,10/21/2011,115,120,,
,10/22/2011,79,79,,
,10/23/2011,48,48,,
,10/24/2011,93,91,,
,10/25/2011,109,107,,
,10/26/2011,103,104,,
,10/27/2011,117,115,,
,10/28/2011,111,111,,
,10/29/2011,67,70,,
,10/30/2011,50,49,,
,10/31/2011,102,101,,
,11/1/2011,107,108,,
,11/2/2011,107,107,,
,11/3/2011,111,109,,
,11/4/2011,114,115,,
,11/5/2011,67,72,,
,11/6/2011,43,40,,
,11/7/2011,86,87,,
,11/8/2011,122,121,,
,11/9/2011,106,109,,
,11/10/2011,114,108,,
,11/11/2011,99,101,,
,11/12/2011,67,68,,
,11/13/2011,38,38,,
,11/14/2011,92,92,,
,11/15/2011,113,111,,
,11/16/2011,106,109,,
,11/17/2011,117,116,,
,11/18/2011,111,108,,
,11/19/2011,70,73,,
,11/20/2011,45,44,,
,11/21/2011,94,96,,
,11/22/2011,111,109,,
,11/23/2011,103,104,,
,11/24/2011,28,33,,
,11/25/2011,61,60,,
,11/26/2011,60,62,,
,11/27/2011,56,49,,
,11/28/2011,84,89,,
,11/29/2011,118,111,,
,11/30/2011,122,120,,
,12/1/2011,122,119,,
,12/2/2011,117,117,,
,12/3/2011,72,71,,
,12/4/2011,48,50,,
,12/5/2011,98,97,,
,12/6/2011,124,125,,
,12/7/2011,117,115,,
,12/8/2011,123,121,,
,12/9/2011,115,112,,
,12/10/2011,85,87,,
,12/11/2011,61,61,,
,12/12/2011,102,103,,
,12/13/2011,120,125,,
,12/14/2011,124,121,,
,12/15/2011,116,113,,
,12/16/2011,105,111,,
,12/17/2011,75,75,,
,12/18/2011,53,50,,
,12/19/2011,100,99,,
,12/20/2011,96,98,,
,12/21/2011,96,93,,
,12/22/2011,106,105,,
,12/23/2011,96,96,,
,12/24/2011,55,65,,
,12/25/2011,27,23,,
,12/26/2011,51,49,,
,12/27/2011,91,83,,
,12/28/2011,98,103,,
,12/29/2011,90,89,,
,12/30/2011,92,98,,
,12/31/2011,66,64,,
,1/1/2012,35,33,,
,1/2/2012,57,59,,
,1/3/2012,102,98,,
,1/4/2012,108,113,,
,1/5/2012,115,111,,
,1/6/2012,105,104,,
,1/7/2012,65,67,,
,1/8/2012,51,54,,
,1/9/2012,95,96,,
,1/10/2012,109,108,,
,1/11/2012,117,118,,
,1/12/2012,111,108,,
,1/13/2012,116,118,,
,1/14/2012,74,72,,
,1/15/2012,51,50,,
,1/16/2012,79,80,,
,1/17/2012,113,113,,
,1/18/2012,114,115,,
