Garage entries-exits by garage,,,,,
Facility Name,Lombard Street Garage,Off Street Parking ID,938,Parking Management District,Marina
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,86,89,,
,4/2/2011,34,32,,
,4/3/2011,23,26,,
,4/4/2011,93,90,,
,4/5/2011,88,89,,
,4/6/2011,96,95,,
,4/7/2011,97,99,,
,4/8/2011,76,76,,
,4/9/2011,41,37,,
,4/10/2011,24,30,,
,4/11/2011,74,69,,
,4/12/2011,85,86,,
,4/13/2011,92,86,,
,4/14/2011,78,81,,
,4/15/2011,95,93,,
,4/16/2011,33,37,,
,4/17/2011,21,24,,
,4/18/2011,83,82,,
,4/19/2011,92,88,,
,4/20/2011,95,97,,
,4/21/2011,98,94,,
,4/22/2011,79,82,,
,4/23/2011,25,28,,
,4/24/2011,18,20,,
,4/25/2011,74,72,,
,4/26/2011,97,91,,
,4/27/2011,102,104,,
,4/28/2011,81,82,,
,4/29/2011,80,79,,
,4/30/2011,36,40,,
,5/1/2011,24,24,,
,5/2/2011,85,83,,
,5/3/2011,82,83,,
,5/4/2011,101,101,,
,5/5/2011,87,84,,
,5/6/2011,90,94,,
,5/7/2011,30,32,,
,5/8/2011,19,17,,
,5/9/2011,87,84,,
,5/10/2011,94,95,,
,5/11/2011,87,88,,
,5/12/2011,87,87,,
,5/13/2011,79,77,,
,5/14/2011,22,26,,
,5/15/2011,18,15,,
,5/16/2011,72,73,,
,5/17/2011,87,86,,
,5/18/2011,104,103,,
,5/19/2011,86,87,,
,5/20/2011,80,84,,
,5/21/2011,29,29,,
,5/22/2011,20,17,,
,5/23/2011,91,88,,
,5/24/2011,82,87,,
,5/25/2011,86,81,,
,5/26/2011,80,79,,
,5/27/2011,73,80,,
,5/28/2011,18,20,,
,5/29/2011,5,7,,
,5/30/2011,0,0,,
,5/31/2011,88,81,,
,6/1/2011,92,92,,
,6/2/2011,92,90,,
,6/3/2011,80,79,,
,6/4/2011,26,28,,
,6/5/2011,34,31,,
,6/6/2011,90,94,,
,6/7/2011,93,94,,
,6/8/2011,94,87,,
,6/9/2011,93,95,,
,6/10/2011,62,67,,
,6/11/2011,23,25,,
,6/12/2011,18,18,,
,6/13/2011,86,83,,
,6/14/2011,93,86,,
,6/15/2011,88,89,,
,6/16/2011,89,90,,
,6/17/2011,74,72,,
,6/18/2011,35,38,,
,6/19/2011,22,28,,
,6/20/2011,90,83,,
,6/21/2011,96,97,,
,6/22/2011,89,89,,
,6/23/2011,98,96,,
,6/24/2011,80,80,,
,6/25/2011,31,33,,
,6/26/2011,18,18,,
,6/27/2011,86,88,,
,6/28/2011,77,76,,
,6/29/2011,87,84,,
,6/30/2011,89,87,,
,7/1/2011,65,67,,
,7/2/2011,18,20,,
,7/3/2011,9,11,,
,7/4/2011,12,12,,
,7/5/2011,91,89,,
,7/6/2011,89,88,,
,7/7/2011,93,93,,
,7/8/2011,83,77,,
,7/9/2011,36,40,,
,7/10/2011,22,23,,
,7/11/2011,77,76,,
,7/12/2011,99,94,,
,7/13/2011,89,93,,
,7/14/2011,102,100,,
,7/15/2011,76,75,,
,7/16/2011,32,35,,
,7/17/2011,27,26,,
,7/18/2011,83,85,,
,7/19/2011,94,87,,
,7/20/2011,82,86,,
,7/21/2011,87,87,,
,7/22/2011,80,78,,
,7/23/2011,28,31,,
,7/24/2011,26,24,,
,7/25/2011,89,91,,
,7/26/2011,88,88,,
,7/27/2011,91,88,,
,7/28/2011,92,96,,
,7/29/2011,78,77,,
,7/30/2011,32,35,,
,7/31/2011,24,20,,
,8/1/2011,77,82,,
,8/2/2011,106,100,,
,8/3/2011,98,100,,
,8/4/2011,93,91,,
,8/5/2011,81,80,,
,8/6/2011,37,38,,
,8/7/2011,24,23,,
,8/8/2011,85,87,,
,8/9/2011,97,91,,
,8/10/2011,91,95,,
,8/11/2011,93,90,,
,8/12/2011,78,82,,
,8/13/2011,40,39,,
,8/14/2011,16,19,,
,8/15/2011,80,79,,
,8/16/2011,87,87,,
,8/17/2011,90,86,,
,8/18/2011,96,97,,
,8/19/2011,92,89,,
,8/20/2011,29,33,,
,8/21/2011,25,23,,
,8/22/2011,88,89,,
,8/23/2011,89,85,,
,8/24/2011,99,100,,
,8/25/2011,100,102,,
,8/26/2011,81,82,,
,8/27/2011,31,37,,
,8/28/2011,20,21,,
,8/29/2011,82,81,,
,8/30/2011,92,89,,
,8/31/2011,99,97,,
,9/1/2011,97,95,,
,9/2/2011,73,80,,
,9/3/2011,27,26,,
,9/4/2011,12,19,,
,9/5/2011,0,0,,
,9/6/2011,95,85,,
,9/7/2011,89,88,,
,9/8/2011,87,85,,
,9/9/2011,80,83,,
,9/10/2011,37,38,,
,9/11/2011,16,17,,
,9/12/2011,86,83,,
,9/13/2011,98,98,,
,9/14/2011,96,93,,
,9/15/2011,86,89,,
,9/16/2011,86,80,,
,9/17/2011,35,40,,
,9/18/2011,26,26,,
,9/19/2011,93,91,,
,9/20/2011,96,91,,
,9/21/2011,88,86,,
,9/22/2011,88,91,,
,9/23/2011,89,91,,
,9/24/2011,36,43,,
,9/25/2011,22,18,,
,9/26/2011,94,90,,
,9/27/2011,91,91,,
,9/28/2011,90,92,,
