Garage entries-exits by garage,,,,,
Facility Name,Mission Bartlett Garage,Off Street Parking ID,939,Parking Management District,Mission
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,283,291,,
,4/2/2011,203,201,,
,4/3/2011,154,148,,
,4/4/2011,263,266,,
,4/5/2011,289,283,,
,4/6/2011,276,279,,
,4/7/2011,290,292,,
,4/8/2011,275,283,,
,4/9/2011,199,206,,
,4/10/2011,149,138,,
,4/11/2011,267,261,,
,4/12/2011,263,261,,
,4/13/2011,273,270,,
,4/14/2011,288,288,,
,4/15/2011,296,303,,
,4/16/2011,194,206,,
,4/17/2011,153,139,,
,4/18/2011,269,265,,
,4/19/2011,278,285,,
,4/20/2011,290,276,,
,4/21/2011,303,311,,
,4/22/2011,280,281,,
,4/23/2011,205,215,,
,4/24/2011,147,131,,
,4/25/2011,272,271,,
,4/26/2011,281,279,,
,4/27/2011,288,291,,
,4/28/2011,290,297,,
,4/29/2011,280,282,,
,4/30/2011,204,211,,
,5/1/2011,161,136,,
,5/2/2011,281,281,,
,5/3/2011,293,297,,
,5/4/2011,285,280,,
,5/5/2011,298,300,,
,5/6/2011,291,309,,
,5/7/2011,218,226,,
,5/8/2011,164,147,,
,5/9/2011,298,293,,
,5/10/2011,307,313,,
,5/11/2011,308,304,,
,5/12/2011,292,294,,
,5/13/2011,297,299,,
,5/14/2011,212,213,,
,5/15/2011,137,131,,
,5/16/2011,280,276,,
,5/17/2011,286,296,,
,5/18/2011,295,285,,
,5/19/2011,287,287,,
,5/20/2011,288,307,,
,5/21/2011,206,204,,
,5/22/2011,162,155,,
,5/23/2011,262,266,,
,5/24/2011,294,285,,
,5/25/2011,301,299,,
,5/26/2011,297,291,,
,5/27/2011,266,272,,
,5/28/2011,180,193,,
,5/29/2011,156,148,,
,5/30/2011,151,147,,
,5/31/2011,300,297,,
,6/1/2011,282,277,,
,6/2/2011,292,296,,
,6/3/2011,276,275,,
,6/4/2011,194,206,,
,6/5/2011,148,143,,
,6/6/2011,262,260,,
,6/7/2011,251,250,,
,6/8/2011,278,278,,
,6/9/2011,276,269,,
,6/10/2011,272,294,,
,6/11/2011,182,181,,
,6/12/2011,160,145,,
,6/13/2011,240,240,,
,6/14/2011,266,269,,
,6/15/2011,255,257,,
,6/16/2011,269,270,,
,6/17/2011,238,243,,
,6/18/2011,174,184,,
,6/19/2011,142,125,,
,6/20/2011,274,274,,
,6/21/2011,274,271,,
,6/22/2011,299,306,,
,6/23/2011,271,268,,
,6/24/2011,262,268,,
,6/25/2011,198,188,,
,6/26/2011,130,136,,
,6/27/2011,296,291,,
,6/28/2011,263,266,,
,6/29/2011,292,285,,
,6/30/2011,276,285,,
,7/1/2011,269,280,,
,7/2/2011,169,177,,
,7/3/2011,118,125,,
,7/4/2011,129,124,,
,7/5/2011,267,248,,
,7/6/2011,250,255,,
,7/7/2011,257,257,,
,7/8/2011,252,258,,
,7/9/2011,181,192,,
,7/10/2011,141,118,,
,7/11/2011,231,233,,
,7/12/2011,249,255,,
,7/13/2011,270,264,,
,7/14/2011,248,249,,
,7/15/2011,242,254,,
,7/16/2011,175,175,,
,7/17/2011,131,119,,
,7/18/2011,234,234,,
,7/19/2011,267,272,,
,7/20/2011,251,248,,
,7/21/2011,245,241,,
,7/22/2011,250,257,,
,7/23/2011,182,194,,
,7/24/2011,154,142,,
,7/25/2011,263,260,,
,7/26/2011,258,256,,
,7/27/2011,255,251,,
,7/28/2011,257,258,,
,7/29/2011,252,264,,
,7/30/2011,196,204,,
,7/31/2011,154,145,,
,8/1/2011,228,233,,
,8/2/2011,242,237,,
,8/3/2011,250,254,,
,8/4/2011,243,238,,
,8/5/2011,248,261,,
,8/6/2011,165,168,,
,8/7/2011,136,126,,
,8/8/2011,259,250,,
,8/9/2011,246,243,,
,8/10/2011,253,260,,
,8/11/2011,237,238,,
,8/12/2011,244,247,,
,8/13/2011,167,180,,
,8/14/2011,151,126,,
,8/15/2011,250,248,,
,8/16/2011,260,264,,
,8/17/2011,257,259,,
,8/18/2011,241,241,,
,8/19/2011,232,246,,
,8/20/2011,175,184,,
,8/21/2011,147,127,,
,8/22/2011,266,255,,
,8/23/2011,253,252,,
,8/24/2011,278,273,,
,8/25/2011,274,279,,
,8/26/2011,264,262,,
,8/27/2011,161,171,,
,8/28/2011,152,138,,
,8/29/2011,250,251,,
,8/30/2011,267,259,,
,8/31/2011,251,260,,
,9/1/2011,270,262,,
,9/2/2011,242,258,,
,9/3/2011,148,152,,
,9/4/2011,107,109,,
,9/5/2011,152,129,,
,9/6/2011,257,257,,
,9/7/2011,284,273,,
,9/8/2011,269,274,,
,9/9/2011,268,274,,
,9/10/2011,170,176,,
,9/11/2011,140,122,,
,9/12/2011,257,252,,
,9/13/2011,272,277,,
,9/14/2011,263,260,,
,9/15/2011,259,257,,
,9/16/2011,276,272,,
,9/17/2011,178,188,,
,9/18/2011,152,137,,
,9/19/2011,256,249,,
,9/20/2011,269,279,,
,9/21/2011,270,260,,
,9/22/2011,258,272,,
,9/23/2011,276,270,,
,9/24/2011,178,181,,
,9/25/2011,145,133,,
,9/26/2011,272,271,,
,9/27/2011,285,282,,
,9/28/2011,274,272,,
,9/29/2011,274,265,,
,9/30/2011,272,285,,
,10/1/2011,203,215,,
,10/2/2011,154,142,,
,10/3/2011,274,268,,
,10/4/2011,271,275,,
,10/5/2011,305,299,,
,10/6/2011,271,272,,
,10/7/2011,277,285,,
,10/8/2011,189,196,,
,10/9/2011,135,129,,
,10/10/2011,217,217,,
,10/11/2011,288,278,,
,10/12/2011,276,271,,
,10/13/2011,267,269,,
,10/14/2011,283,293,,
,10/15/2011,194,199,,
,10/16/2011,148,134,,
,10/17/2011,257,257,,
,10/18/2011,263,259,,
,10/19/2011,255,257,,
,10/20/2011,257,264,,
,10/21/2011,258,266,,
,10/22/2011,184,182,,
,10/23/2011,150,135,,
,10/24/2011,258,260,,
,10/25/2011,289,287,,
,10/26/2011,288,285,,
,10/27/2011,270,280,,
,10/28/2011,290,287,,
,10/29/2011,163,181,,
,10/30/2011,144,130,,
,10/31/2011,270,266,,
,11/1/2011,288,287,,
,11/2/2011,262,263,,
,11/3/2011,271,271,,
,11/4/2011,290,298,,
,11/5/2011,172,185,,
,11/6/2011,147,130,,
,11/7/2011,251,254,,
,11/8/2011,248,243,,
,11/9/2011,258,258,,
,11/10/2011,267,274,,
,11/11/2011,219,218,,
,11/12/2011,169,175,,
,11/13/2011,130,116,,
,11/14/2011,238,235,,
,11/15/2011,272,269,,
,11/16/2011,265,267,,
,11/17/2011,254,248,,
,11/18/2011,266,273,,
,11/19/2011,175,185,,
,11/20/2011,123,115,,
,11/21/2011,244,239,,
,11/22/2011,253,254,,
,11/23/2011,227,246,,
,11/24/2011,81,95,,
,11/25/2011,151,133,,
,11/26/2011,128,127,,
,11/27/2011,114,101,,
,11/28/2011,251,242,,
,11/29/2011,258,253,,
,11/30/2011,266,273,,
,12/1/2011,270,266,,
,12/2/2011,285,294,,
,12/3/2011,177,176,,
,12/4/2011,142,133,,
,12/5/2011,261,255,,
,12/6/2011,271,272,,
,12/7/2011,265,270,,
,12/8/2011,253,249,,
,12/9/2011,280,283,,
,12/10/2011,183,185,,
,12/11/2011,139,130,,
,12/12/2011,262,264,,
,12/13/2011,277,275,,
,12/14/2011,259,261,,
,12/15/2011,288,281,,
,12/16/2011,268,274,,
,12/17/2011,183,194,,
,12/18/2011,150,135,,
,12/19/2011,249,242,,
,12/20/2011,249,246,,
,12/21/2011,222,232,,
,12/22/2011,222,218,,
,12/23/2011,194,205,,
,12/24/2011,96,116,,
,12/25/2011,72,57,,
,12/26/2011,123,110,,
,12/27/2011,189,182,,
,12/28/2011,197,199,,
,12/29/2011,196,196,,
,12/30/2011,198,208,,
,12/31/2011,132,140,,
,1/1/2012,105,84,,
,1/2/2012,147,149,,
,1/3/2012,241,240,,
,1/4/2012,237,241,,
,1/5/2012,249,250,,
,1/6/2012,254,260,,
,1/7/2012,171,164,,
,1/8/2012,132,125,,
,1/9/2012,243,244,,
,1/10/2012,261,261,,
,1/11/2012,273,268,,
,1/12/2012,257,258,,
,1/13/2012,258,265,,
,1/14/2012,165,169,,
,1/15/2012,141,143,,
,1/16/2012,228,216,,
,1/17/2012,252,257,,
,1/18/2012,265,260,,
,1/19/2012,262,271,,
,1/20/2012,267,269,,
,1/21/2012,187,184,,
,1/22/2012,124,126,,
,1/23/2012,255,247,,
,1/24/2012,256,254,,
,1/25/2012,254,254,,
,1/26/2012,279,276,,
,1/27/2012,264,267,,
,1/28/2012,181,184,,
,1/29/2012,156,145,,
,1/30/2012,247,238,,
,1/31/2012,254,261,,
,2/1/2012,263,256,,
,2/2/2012,250,264,,
,2/3/2012,272,267,,
,2/4/2012,187,193,,
,2/5/2012,126,120,,
,2/6/2012,251,253,,
,2/7/2012,260,261,,
,2/8/2012,267,266,,
