Garage entries-exits by garage,,,,,
Facility Name,Moscone Center Garage,Off Street Parking ID,941,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,129,128,,
,4/2/2011,22,25,,
,4/3/2011,22,21,,
,4/4/2011,137,140,,
,4/5/2011,145,145,,
,4/6/2011,148,144,,
,4/7/2011,157,158,,
,4/8/2011,134,135,,
,4/9/2011,29,29,,
,4/10/2011,14,13,,
,4/11/2011,139,140,,
,4/12/2011,145,144,,
,4/13/2011,145,147,,
,4/14/2011,145,144,,
,4/15/2011,133,131,,
,4/16/2011,22,23,,
,4/17/2011,11,12,,
,4/18/2011,144,141,,
,4/19/2011,152,155,,
,4/20/2011,140,139,,
,4/21/2011,126,127,,
,4/22/2011,130,129,,
,4/23/2011,16,17,,
,4/24/2011,12,13,,
,4/25/2011,125,124,,
,4/26/2011,147,145,,
,4/27/2011,140,141,,
,4/28/2011,153,152,,
,4/29/2011,127,128,,
,4/30/2011,22,24,,
,5/1/2011,7,12,,
,5/2/2011,153,147,,
,5/3/2011,157,158,,
,5/4/2011,162,163,,
,5/5/2011,161,159,,
,5/6/2011,147,147,,
,5/7/2011,26,28,,
,5/8/2011,8,8,,
,5/9/2011,151,153,,
,5/10/2011,150,149,,
,5/11/2011,150,150,,
,5/12/2011,153,154,,
,5/13/2011,156,151,,
,5/14/2011,28,28,,
,5/15/2011,8,10,,
,5/16/2011,150,153,,
,5/17/2011,153,152,,
,5/18/2011,142,139,,
,5/19/2011,133,133,,
,5/20/2011,132,130,,
,5/21/2011,27,29,,
,5/22/2011,13,14,,
,5/23/2011,142,143,,
,5/24/2011,147,147,,
,5/25/2011,155,153,,
,5/26/2011,155,156,,
,5/27/2011,119,119,,
,5/28/2011,15,18,,
,5/29/2011,15,14,,
,5/30/2011,23,22,,
,5/31/2011,148,149,,
,6/1/2011,146,145,,
,6/2/2011,149,146,,
,6/3/2011,144,143,,
,6/4/2011,27,27,,
,6/5/2011,18,23,,
,6/6/2011,154,157,,
,6/7/2011,147,146,,
,6/8/2011,145,144,,
,6/9/2011,153,151,,
,6/10/2011,147,141,,
,6/11/2011,27,30,,
,6/12/2011,14,20,,
,6/13/2011,146,143,,
,6/14/2011,149,150,,
,6/15/2011,146,146,,
,6/16/2011,147,148,,
,6/17/2011,134,131,,
,6/18/2011,19,23,,
,6/19/2011,9,11,,
,6/20/2011,143,142,,
,6/21/2011,150,149,,
,6/22/2011,158,158,,
,6/23/2011,157,157,,
,6/24/2011,134,132,,
,6/25/2011,19,22,,
,6/26/2011,12,15,,
,6/27/2011,138,137,,
,6/28/2011,143,144,,
,6/29/2011,154,155,,
,6/30/2011,144,140,,
,7/1/2011,115,112,,
,7/2/2011,17,18,,
,7/3/2011,8,9,,
,7/4/2011,9,11,,
,7/5/2011,129,129,,
,7/6/2011,134,135,,
,7/7/2011,132,131,,
,7/8/2011,131,128,,
,7/9/2011,23,26,,
,7/10/2011,15,18,,
,7/11/2011,148,145,,
,7/12/2011,144,143,,
,7/13/2011,140,143,,
,7/14/2011,148,145,,
,7/15/2011,129,129,,
,7/16/2011,26,28,,
,7/17/2011,15,16,,
,7/18/2011,141,142,,
,7/19/2011,147,147,,
,7/20/2011,138,134,,
,7/21/2011,138,140,,
,7/22/2011,127,122,,
,7/23/2011,19,20,,
,7/24/2011,10,13,,
,7/25/2011,136,137,,
,7/26/2011,144,145,,
,7/27/2011,136,137,,
,7/28/2011,145,147,,
,7/29/2011,128,127,,
,7/30/2011,24,25,,
,7/31/2011,15,18,,
,8/1/2011,144,142,,
,8/2/2011,126,129,,
,8/3/2011,137,134,,
,8/4/2011,133,137,,
,8/5/2011,125,122,,
,8/6/2011,33,33,,
,8/7/2011,18,18,,
,8/8/2011,137,139,,
,8/9/2011,144,141,,
,8/10/2011,139,140,,
,8/11/2011,140,139,,
,8/12/2011,118,117,,
,8/13/2011,18,19,,
,8/14/2011,16,16,,
,8/15/2011,141,142,,
,8/16/2011,135,138,,
,8/17/2011,149,143,,
,8/18/2011,146,149,,
,8/19/2011,129,121,,
,8/20/2011,21,28,,
,8/21/2011,10,10,,
,8/22/2011,145,147,,
,8/23/2011,150,150,,
,8/24/2011,145,142,,
,8/25/2011,136,137,,
,8/26/2011,127,125,,
,8/27/2011,22,27,,
,8/28/2011,21,19,,
,8/29/2011,144,142,,
,8/30/2011,150,153,,
,8/31/2011,128,125,,
,9/1/2011,141,152,,
,9/2/2011,129,127,,
,9/3/2011,24,24,,
,9/4/2011,10,15,,
,9/5/2011,20,20,,
,9/6/2011,145,144,,
,9/7/2011,150,151,,
,9/8/2011,151,149,,
,9/9/2011,150,146,,
,9/10/2011,28,30,,
,9/11/2011,12,16,,
,9/12/2011,155,150,,
,9/13/2011,156,158,,
,9/14/2011,139,144,,
,9/15/2011,155,148,,
,9/16/2011,126,129,,
