Garage entries-exits by garage,,,,,
Facility Name,Performing Arts Garage,Off Street Parking ID,943,Parking Management District,Civic Center
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,40,41,,
,4/2/2011,4,6,,
,4/3/2011,7,6,,
,4/4/2011,46,46,,
,4/5/2011,45,45,,
,4/6/2011,52,52,,
,4/7/2011,55,54,,
,4/8/2011,45,48,,
,4/9/2011,6,6,,
,4/10/2011,10,9,,
,4/11/2011,49,48,,
,4/12/2011,49,49,,
,4/13/2011,49,47,,
,4/14/2011,47,48,,
,4/15/2011,46,46,,
,4/16/2011,11,13,,
,4/17/2011,6,5,,
,4/18/2011,48,45,,
,4/19/2011,50,50,,
,4/20/2011,49,44,,
,4/21/2011,44,44,,
,4/22/2011,39,40,,
,4/23/2011,2,4,,
,4/24/2011,8,6,,
,4/25/2011,44,45,,
,4/26/2011,50,47,,
,4/27/2011,50,54,,
,4/28/2011,47,46,,
,4/29/2011,46,47,,
,4/30/2011,6,8,,
,5/1/2011,5,5,,
,5/2/2011,48,48,,
,5/3/2011,55,54,,
,5/4/2011,51,51,,
,5/5/2011,53,51,,
,5/6/2011,49,49,,
,5/7/2011,6,6,,
,5/8/2011,8,6,,
,5/9/2011,45,48,,
,5/10/2011,47,45,,
,5/11/2011,54,52,,
,5/12/2011,48,46,,
,5/13/2011,46,43,,
,5/14/2011,10,11,,
,5/15/2011,5,6,,
,5/16/2011,49,46,,
,5/17/2011,51,51,,
,5/18/2011,50,49,,
,5/19/2011,48,49,,
,5/20/2011,49,51,,
,5/21/2011,5,3,,
,5/22/2011,6,6,,
,5/23/2011,49,46,,
,5/24/2011,51,48,,
,5/25/2011,54,49,,
,5/26/2011,51,52,,
,5/27/2011,40,39,,
,5/28/2011,5,6,,
,5/29/2011,8,8,,
,5/30/2011,7,7,,
,5/31/2011,50,49,,
,6/1/2011,53,51,,
,6/2/2011,48,46,,
,6/3/2011,43,45,,
,6/4/2011,4,4,,
,6/5/2011,11,10,,
,6/6/2011,41,40,,
,6/7/2011,43,42,,
,6/8/2011,49,47,,
,6/9/2011,39,39,,
,6/10/2011,40,40,,
,6/11/2011,9,11,,
,6/12/2011,11,9,,
,6/13/2011,47,45,,
,6/14/2011,46,45,,
,6/15/2011,52,49,,
,6/16/2011,45,47,,
,6/17/2011,49,49,,
,6/18/2011,4,9,,
,6/19/2011,8,7,,
,6/20/2011,37,39,,
,6/21/2011,42,39,,
,6/22/2011,49,46,,
,6/23/2011,42,43,,
,6/24/2011,43,45,,
,6/25/2011,7,7,,
,6/26/2011,10,10,,
,6/27/2011,44,44,,
,6/28/2011,45,44,,
,6/29/2011,46,44,,
,6/30/2011,39,40,,
,7/1/2011,36,33,,
,7/2/2011,7,8,,
,7/3/2011,4,6,,
,7/4/2011,8,5,,
,7/5/2011,43,42,,
,7/6/2011,46,48,,
,7/7/2011,50,49,,
,7/8/2011,48,49,,
,7/9/2011,7,9,,
,7/10/2011,5,4,,
,7/11/2011,48,50,,
,7/12/2011,52,51,,
,7/13/2011,51,51,,
,7/14/2011,53,54,,
,7/15/2011,46,45,,
,7/16/2011,6,8,,
,7/17/2011,7,6,,
,7/18/2011,54,53,,
,7/19/2011,54,55,,
,7/20/2011,54,53,,
,7/21/2011,46,47,,
,7/22/2011,48,49,,
,7/23/2011,6,5,,
,7/24/2011,6,5,,
,7/25/2011,50,50,,
,7/26/2011,48,47,,
,7/27/2011,56,55,,
,7/28/2011,51,50,,
,7/29/2011,45,46,,
,7/30/2011,5,5,,
,7/31/2011,5,4,,
,8/1/2011,47,48,,
,8/2/2011,51,51,,
,8/3/2011,48,47,,
,8/4/2011,48,48,,
,8/5/2011,40,52,,
,8/6/2011,6,8,,
,8/7/2011,3,3,,
,8/8/2011,36,36,,
,8/9/2011,40,41,,
,8/10/2011,44,43,,
,8/11/2011,45,46,,
,8/12/2011,39,41,,
,8/13/2011,5,5,,
,8/14/2011,3,3,,
,8/15/2011,43,40,,
,8/16/2011,48,49,,
,8/17/2011,50,49,,
,8/18/2011,45,47,,
,8/19/2011,43,42,,
,8/20/2011,6,7,,
,8/21/2011,6,8,,
,8/22/2011,50,47,,
,8/23/2011,50,48,,
,8/24/2011,50,51,,
,8/25/2011,39,41,,
,8/26/2011,40,41,,
,8/27/2011,4,5,,
,8/28/2011,3,3,,
,8/29/2011,38,38,,
,8/30/2011,46,44,,
,8/31/2011,47,47,,
,9/1/2011,39,40,,
,9/2/2011,35,37,,
,9/3/2011,6,6,,
,9/4/2011,4,4,,
,9/5/2011,7,6,,
,9/6/2011,41,41,,
,9/7/2011,48,45,,
,9/8/2011,43,42,,
,9/9/2011,47,45,,
,9/10/2011,8,9,,
,9/11/2011,5,7,,
,9/12/2011,41,43,,
,9/13/2011,42,44,,
,9/14/2011,46,45,,
,9/15/2011,41,42,,
,9/16/2011,44,42,,
,9/17/2011,9,9,,
,9/18/2011,7,8,,
,9/19/2011,43,41,,
,9/20/2011,41,42,,
,9/21/2011,45,46,,
,9/22/2011,49,45,,
,9/23/2011,44,43,,
,9/24/2011,6,10,,
,9/25/2011,6,3,,
,9/26/2011,44,44,,
,9/27/2011,43,40,,
,9/28/2011,44,43,,
,9/29/2011,36,38,,
,9/30/2011,43,43,,
,10/1/2011,4,4,,
,10/2/2011,3,2,,
,10/3/2011,43,43,,
,10/4/2011,41,40,,
,10/5/2011,44,45,,
,10/6/2011,43,42,,
,10/7/2011,38,38,,
,10/8/2011,4,6,,
,10/9/2011,4,3,,
,10/10/2011,26,26,,
,10/11/2011,35,37,,
,10/12/2011,38,38,,
,10/13/2011,43,43,,
,10/14/2011,45,44,,
,10/15/2011,7,7,,
,10/16/2011,5,6,,
,10/17/2011,47,50,,
,10/18/2011,47,47,,
,10/19/2011,44,42,,
,10/20/2011,46,47,,
,10/21/2011,41,42,,
,10/22/2011,2,2,,
,10/23/2011,4,3,,
,10/24/2011,42,41,,
,10/25/2011,48,46,,
,10/26/2011,41,41,,
,10/27/2011,41,43,,
,10/28/2011,49,49,,
,10/29/2011,5,5,,
,10/30/2011,4,4,,
,10/31/2011,38,39,,
,11/1/2011,44,46,,
,11/2/2011,59,59,,
,11/3/2011,52,51,,
,11/4/2011,49,50,,
,11/5/2011,4,7,,
,11/6/2011,5,4,,
,11/7/2011,63,61,,
,11/8/2011,53,55,,
,11/9/2011,44,48,,
,11/10/2011,50,51,,
,11/11/2011,30,28,,
,11/12/2011,10,11,,
,11/13/2011,4,6,,
,11/14/2011,49,47,,
,11/15/2011,57,58,,
,11/16/2011,58,56,,
,11/17/2011,62,62,,
,11/18/2011,53,54,,
,11/19/2011,6,7,,
,11/20/2011,5,4,,
,11/21/2011,62,61,,
,11/22/2011,57,57,,
,11/23/2011,35,36,,
,11/24/2011,3,3,,
,11/25/2011,9,10,,
,11/26/2011,6,9,,
,11/27/2011,6,4,,
,11/28/2011,52,52,,
,11/29/2011,61,61,,
,11/30/2011,68,68,,
,12/1/2011,59,58,,
,12/2/2011,53,55,,
,12/3/2011,6,5,,
,12/4/2011,2,2,,
,12/5/2011,59,58,,
,12/6/2011,56,58,,
,12/7/2011,57,55,,
,12/8/2011,51,51,,
,12/9/2011,54,51,,
,12/10/2011,6,7,,
,12/11/2011,6,4,,
,12/12/2011,56,55,,
,12/13/2011,61,59,,
,12/14/2011,51,50,,
,12/15/2011,52,53,,
,12/16/2011,51,50,,
,12/17/2011,6,5,,
,12/18/2011,2,5,,
,12/19/2011,45,43,,
,12/20/2011,49,49,,
,12/21/2011,44,43,,
,12/22/2011,43,45,,
,12/23/2011,31,32,,
,12/24/2011,3,3,,
,12/25/2011,2,3,,
,12/26/2011,3,2,,
,12/27/2011,26,25,,
,12/28/2011,28,31,,
,12/29/2011,30,36,,
,12/30/2011,29,30,,
,12/31/2011,4,6,,
,1/1/2012,3,1,,
,1/2/2012,12,13,,
,1/3/2012,42,42,,
,1/4/2012,53,52,,
,1/5/2012,53,51,,
,1/6/2012,54,52,,
,1/7/2012,9,10,,
,1/8/2012,6,6,,
,1/9/2012,52,50,,
,1/10/2012,55,51,,
,1/11/2012,58,60,,
,1/12/2012,58,55,,
,1/13/2012,46,44,,
,1/14/2012,6,6,,
,1/15/2012,5,6,,
,1/16/2012,11,9,,
,1/17/2012,51,51,,
,1/18/2012,54,53,,
,1/19/2012,53,51,,
,1/20/2012,54,54,,
,1/21/2012,6,6,,
,1/22/2012,3,2,,
,1/23/2012,44,42,,
,1/24/2012,56,55,,
,1/25/2012,55,51,,
,1/26/2012,55,55,,
,1/27/2012,48,49,,
,1/28/2012,4,5,,
,1/29/2012,6,5,,
,1/30/2012,53,54,,
,1/31/2012,54,52,,
,2/1/2012,54,53,,
,2/2/2012,52,53,,
,2/3/2012,46,47,,
,2/4/2012,3,4,,
,2/5/2012,3,2,,
,2/6/2012,56,55,,
,2/7/2012,55,52,,
,2/8/2012,51,50,,
,2/9/2012,54,54,,
,2/10/2012,46,46,,
,2/11/2012,8,9,,
,2/12/2012,1,1,,
,2/13/2012,46,45,,
,2/14/2012,53,54,,
,2/15/2012,50,48,,
,2/16/2012,51,48,,
,2/17/2012,44,45,,
,2/18/2012,7,6,,
,2/19/2012,4,7,,
,2/20/2012,16,15,,
,2/21/2012,48,47,,
,2/22/2012,49,49,,
,2/23/2012,48,47,,
,2/24/2012,43,44,,
,2/25/2012,5,6,,
,2/26/2012,5,4,,
,2/27/2012,46,45,,
,2/28/2012,53,52,,
,2/29/2012,54,53,,
,3/1/2012,64,59,,
,3/2/2012,58,60,,
,3/3/2012,12,11,,
,3/4/2012,7,6,,
,3/5/2012,61,60,,
,3/6/2012,58,57,,
,3/7/2012,65,64,,
,3/8/2012,67,67,,
,3/9/2012,63,64,,
,3/10/2012,7,6,,
,3/11/2012,2,4,,
,3/12/2012,68,65,,
,3/13/2012,66,67,,
,3/14/2012,66,63,,
,3/15/2012,68,68,,
,3/16/2012,63,64,,
,3/17/2012,7,8,,
,3/18/2012,8,7,,
,3/19/2012,62,59,,
,3/20/2012,63,63,,
,3/21/2012,69,67,,
,3/22/2012,70,70,,
,3/23/2012,65,67,,
,3/24/2012,8,7,,
,3/25/2012,8,8,,
,3/26/2012,63,61,,
,3/27/2012,64,64,,
,3/28/2012,65,64,,
,3/29/2012,68,67,,
,3/30/2012,65,65,,
,3/31/2012,9,11,,
,4/1/2012,6,4,,
,4/2/2012,64,63,,
,4/3/2012,73,72,,
,4/4/2012,67,65,,
,4/5/2012,62,60,,
,4/6/2012,48,49,,
,4/7/2012,8,8,,
,4/8/2012,9,9,,
,4/9/2012,51,50,,
,4/10/2012,56,54,,
,4/11/2012,61,56,,
,4/12/2012,61,61,,
,4/13/2012,50,50,,
,4/14/2012,10,11,,
,4/15/2012,8,6,,
,4/16/2012,63,60,,
,4/17/2012,62,60,,
,4/18/2012,70,66,,
,4/19/2012,68,68,,
,4/20/2012,62,61,,
,4/21/2012,10,8,,
,4/22/2012,6,7,,
,4/23/2012,67,64,,
,4/24/2012,73,72,,
,4/25/2012,63,63,,
,4/26/2012,63,63,,
,4/27/2012,63,61,,
,4/28/2012,11,12,,
,4/29/2012,11,9,,
,4/30/2012,64,63,,
,5/1/2012,63,63,,
,5/2/2012,61,60,,
,5/3/2012,70,68,,
,5/4/2012,59,60,,
,5/5/2012,9,9,,
,5/6/2012,3,3,,
,5/7/2012,59,58,,
,5/8/2012,62,60,,
,5/9/2012,61,62,,
,5/10/2012,68,64,,
,5/11/2012,53,52,,
,5/12/2012,8,7,,
,5/13/2012,6,6,,
,5/14/2012,59,58,,
,5/15/2012,66,64,,
,5/16/2012,63,64,,
,5/17/2012,57,56,,
,5/18/2012,53,52,,
,5/19/2012,10,9,,
,5/20/2012,2,3,,
,5/21/2012,60,58,,
,5/22/2012,66,63,,
,5/23/2012,61,59,,
,5/24/2012,56,55,,
,5/25/2012,54,54,,
,5/26/2012,6,6,,
,5/27/2012,4,3,,
,5/28/2012,8,8,,
,5/29/2012,59,55,,
,5/30/2012,58,56,,
,5/31/2012,56,57,,
,6/1/2012,55,54,,
,6/2/2012,5,5,,
,6/3/2012,3,3,,
,6/4/2012,54,52,,
,6/5/2012,58,58,,
,6/6/2012,63,60,,
,6/7/2012,66,65,,
,6/8/2012,49,46,,
,6/9/2012,6,8,,
,6/10/2012,6,4,,
,6/11/2012,54,54,,
,6/12/2012,56,53,,
,6/13/2012,52,51,,
,6/14/2012,56,51,,
,6/15/2012,43,46,,
,6/16/2012,6,8,,
,6/17/2012,7,6,,
,6/18/2012,52,47,,
,6/19/2012,58,57,,
,6/20/2012,55,54,,
,6/21/2012,55,52,,
,6/22/2012,45,41,,
,6/23/2012,6,7,,
,6/24/2012,7,8,,
,6/25/2012,59,55,,
,6/26/2012,65,62,,
,6/27/2012,59,59,,
,6/28/2012,62,60,,
,6/29/2012,58,59,,
,6/30/2012,7,7,,
,7/1/2012,5,6,,
,7/2/2012,53,51,,
,7/3/2012,56,56,,
,7/4/2012,6,6,,
,7/5/2012,50,46,,
,7/6/2012,51,49,,
,7/7/2012,5,8,,
,7/8/2012,7,5,,
,7/9/2012,58,54,,
,7/10/2012,65,65,,
,7/11/2012,59,54,,
,7/12/2012,58,57,,
,7/13/2012,46,45,,
,7/14/2012,7,9,,
,7/15/2012,6,4,,
,7/16/2012,55,55,,
,7/17/2012,57,55,,
,7/18/2012,55,52,,
,7/19/2012,61,59,,
,7/20/2012,54,54,,
,7/21/2012,12,12,,
,7/22/2012,6,7,,
,7/23/2012,52,49,,
,7/24/2012,57,56,,
,7/25/2012,63,60,,
,7/26/2012,58,57,,
,7/27/2012,50,47,,
,7/28/2012,16,16,,
,7/29/2012,8,8,,
,7/30/2012,47,46,,
,7/31/2012,53,53,,
,8/1/2012,58,65,,
,8/2/2012,76,78,,
,8/3/2012,60,57,,
,8/4/2012,10,10,,
,8/5/2012,7,7,,
,8/6/2012,69,67,,
,8/7/2012,78,76,,
,8/8/2012,69,65,,
,8/9/2012,65,66,,
,8/10/2012,59,59,,
,8/11/2012,10,11,,
,8/12/2012,9,9,,
,8/13/2012,67,64,,
,8/14/2012,71,69,,
,8/15/2012,74,74,,
,8/16/2012,71,68,,
,8/17/2012,58,58,,
,8/18/2012,13,13,,
,8/19/2012,7,6,,
,8/20/2012,72,70,,
,8/21/2012,70,69,,
,8/22/2012,66,64,,
,8/23/2012,70,70,,
,8/24/2012,58,59,,
,8/25/2012,13,14,,
,8/26/2012,5,5,,
,8/27/2012,71,68,,
,8/28/2012,74,74,,
,8/29/2012,71,69,,
,8/30/2012,76,76,,
,8/31/2012,64,64,,
,9/1/2012,14,14,,
,9/2/2012,8,7,,
,9/3/2012,11,8,,
,9/4/2012,76,77,,
,9/5/2012,88,87,,
,9/6/2012,84,85,,
,9/7/2012,88,87,,
,9/8/2012,18,19,,
,9/9/2012,15,14,,
,9/10/2012,82,77,,
,9/11/2012,86,85,,
,9/12/2012,89,88,,
,9/13/2012,92,92,,
,9/14/2012,79,76,,
,9/15/2012,13,14,,
,9/16/2012,12,13,,
,9/17/2012,83,80,,
,9/18/2012,91,87,,
,9/19/2012,90,87,,
,9/20/2012,87,84,,
,9/21/2012,87,80,,
,9/22/2012,16,17,,
,9/23/2012,7,7,,
,9/24/2012,81,80,,
,9/25/2012,89,87,,
,9/26/2012,90,86,,
,9/27/2012,93,93,,
,9/28/2012,85,87,,
,9/29/2012,17,14,,
,9/30/2012,8,13,,
,10/1/2012,91,88,,
,10/2/2012,95,95,,
,10/3/2012,94,92,,
,10/4/2012,100,96,,
,10/5/2012,90,87,,
,10/6/2012,15,12,,
,10/7/2012,11,11,,
