Garage entries-exits by garage,,,,,
Facility Name,Sutter Stockton Garage,Off Street Parking ID,949,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,173,176,,
,4/2/2011,77,86,,
,4/3/2011,64,66,,
,4/4/2011,192,191,,
,4/5/2011,196,199,,
,4/6/2011,201,211,,
,4/7/2011,191,198,,
,4/8/2011,186,187,,
,4/9/2011,73,83,,
,4/10/2011,69,64,,
,4/11/2011,197,192,,
,4/12/2011,200,204,,
,4/13/2011,194,201,,
,4/14/2011,193,193,,
,4/15/2011,184,189,,
,4/16/2011,68,75,,
,4/17/2011,62,65,,
,4/18/2011,193,198,,
,4/19/2011,188,188,,
,4/20/2011,206,210,,
,4/21/2011,194,198,,
,4/22/2011,162,166,,
,4/23/2011,97,103,,
,4/24/2011,48,46,,
,4/25/2011,191,191,,
,4/26/2011,189,195,,
,4/27/2011,204,207,,
,4/28/2011,199,198,,
,4/29/2011,180,184,,
,4/30/2011,83,89,,
,5/1/2011,61,60,,
,5/2/2011,198,202,,
,5/3/2011,210,210,,
,5/4/2011,194,197,,
,5/5/2011,189,191,,
,5/6/2011,182,184,,
,5/7/2011,78,82,,
,5/8/2011,62,64,,
,5/9/2011,208,205,,
,5/10/2011,206,206,,
,5/11/2011,213,218,,
,5/12/2011,209,216,,
,5/13/2011,192,192,,
,5/14/2011,84,88,,
,5/15/2011,54,54,,
,5/16/2011,185,189,,
,5/17/2011,200,199,,
,5/18/2011,196,192,,
,5/19/2011,205,209,,
,5/20/2011,199,197,,
,5/21/2011,76,80,,
,5/22/2011,66,62,,
,5/23/2011,201,199,,
,5/24/2011,198,201,,
,5/25/2011,202,206,,
,5/26/2011,216,207,,
,5/27/2011,183,188,,
,5/28/2011,76,83,,
,5/29/2011,51,50,,
,5/30/2011,62,59,,
,5/31/2011,195,193,,
,6/1/2011,200,194,,
,6/2/2011,200,204,,
,6/3/2011,173,182,,
,6/4/2011,68,73,,
,6/5/2011,61,57,,
,6/6/2011,193,199,,
,6/7/2011,200,199,,
,6/8/2011,190,185,,
,6/9/2011,183,191,,
,6/10/2011,191,194,,
,6/11/2011,87,86,,
,6/12/2011,56,59,,
,6/13/2011,203,196,,
,6/14/2011,198,198,,
,6/15/2011,212,210,,
,6/16/2011,195,198,,
,6/17/2011,176,186,,
,6/18/2011,72,70,,
,6/19/2011,46,45,,
,6/20/2011,191,190,,
,6/21/2011,191,189,,
,6/22/2011,198,190,,
,6/23/2011,193,198,,
,6/24/2011,168,178,,
,6/25/2011,79,76,,
,6/26/2011,62,59,,
,6/27/2011,188,187,,
,6/28/2011,197,193,,
,6/29/2011,207,202,,
,6/30/2011,174,184,,
,7/1/2011,147,153,,
,7/2/2011,63,60,,
,7/3/2011,43,44,,
,7/4/2011,43,44,,
,7/5/2011,171,175,,
,7/6/2011,183,178,,
,7/7/2011,191,193,,
,7/8/2011,166,163,,
,7/9/2011,70,71,,
,7/10/2011,54,57,,
,7/11/2011,183,187,,
,7/12/2011,211,206,,
,7/13/2011,199,199,,
,7/14/2011,194,196,,
,7/15/2011,176,180,,
,7/16/2011,79,80,,
,7/17/2011,54,53,,
,7/18/2011,194,194,,
,7/19/2011,207,204,,
,7/20/2011,208,199,,
,7/21/2011,198,205,,
,7/22/2011,187,187,,
,7/23/2011,63,69,,
,7/24/2011,48,52,,
,7/25/2011,189,178,,
,7/26/2011,204,211,,
,7/27/2011,196,194,,
,7/28/2011,189,194,,
,7/29/2011,172,173,,
,7/30/2011,63,68,,
,7/31/2011,45,45,,
,8/1/2011,170,173,,
,8/2/2011,184,188,,
,8/3/2011,198,195,,
,8/4/2011,193,195,,
