Garage entries-exits by garage,,,,,
Facility Name,Union Square Garage,Off Street Parking ID,950,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,92,94,,
,4/2/2011,32,32,,
,4/3/2011,22,23,,
,4/4/2011,97,96,,
,4/5/2011,104,104,,
,4/6/2011,112,114,,
,4/7/2011,100,101,,
,4/8/2011,90,86,,
,4/9/2011,42,41,,
,4/10/2011,21,24,,
,4/11/2011,93,95,,
,4/12/2011,102,104,,
,4/13/2011,104,101,,
,4/14/2011,99,98,,
,4/15/2011,100,99,,
,4/16/2011,32,32,,
,4/17/2011,20,22,,
,4/18/2011,103,104,,
,4/19/2011,108,107,,
,4/20/2011,100,97,,
,4/21/2011,111,114,,
,4/22/2011,90,86,,
,4/23/2011,23,25,,
,4/24/2011,8,11,,
,4/25/2011,84,82,,
,4/26/2011,103,104,,
,4/27/2011,103,102,,
,4/28/2011,103,102,,
,4/29/2011,109,108,,
,4/30/2011,35,36,,
,5/1/2011,14,17,,
,5/2/2011,95,93,,
,5/3/2011,101,103,,
,5/4/2011,103,103,,
,5/5/2011,109,111,,
,5/6/2011,78,78,,
,5/7/2011,30,28,,
,5/8/2011,12,16,,
,5/9/2011,94,93,,
,5/10/2011,113,113,,
,5/11/2011,99,99,,
,5/12/2011,103,106,,
,5/13/2011,94,91,,
,5/14/2011,28,24,,
,5/15/2011,14,17,,
,5/16/2011,88,88,,
,5/17/2011,107,108,,
,5/18/2011,103,105,,
,5/19/2011,99,99,,
,5/20/2011,94,90,,
,5/21/2011,31,33,,
,5/22/2011,18,21,,
,5/23/2011,96,97,,
,5/24/2011,100,100,,
,5/25/2011,96,94,,
,5/26/2011,100,103,,
,5/27/2011,87,87,,
,5/28/2011,28,27,,
,5/29/2011,15,16,,
,5/30/2011,18,18,,
,5/31/2011,97,98,,
,6/1/2011,102,102,,
,6/2/2011,108,109,,
,6/3/2011,104,106,,
,6/4/2011,28,25,,
,6/5/2011,27,26,,
,6/6/2011,101,107,,
,6/7/2011,115,113,,
,6/8/2011,111,113,,
,6/9/2011,106,104,,
,6/10/2011,99,99,,
,6/11/2011,34,36,,
,6/12/2011,19,23,,
,6/13/2011,98,99,,
,6/14/2011,118,116,,
,6/15/2011,105,105,,
,6/16/2011,113,115,,
,6/17/2011,90,91,,
,6/18/2011,32,33,,
,6/19/2011,24,24,,
,6/20/2011,91,93,,
,6/21/2011,118,120,,
,6/22/2011,110,108,,
,6/23/2011,108,105,,
,6/24/2011,85,91,,
,6/25/2011,24,24,,
,6/26/2011,25,26,,
,6/27/2011,109,110,,
,6/28/2011,125,125,,
,6/29/2011,110,109,,
,6/30/2011,104,107,,
,7/1/2011,99,97,,
,7/2/2011,28,27,,
,7/3/2011,26,28,,
,7/4/2011,20,21,,
,7/5/2011,109,110,,
,7/6/2011,99,102,,
,7/7/2011,98,102,,
,7/8/2011,112,113,,
,7/9/2011,28,27,,
,7/10/2011,18,20,,
,7/11/2011,95,96,,
,7/12/2011,107,106,,
,7/13/2011,110,109,,
,7/14/2011,100,103,,
,7/15/2011,93,95,,
,7/16/2011,30,31,,
,7/17/2011,26,26,,
,7/18/2011,94,97,,
,7/19/2011,109,109,,
,7/20/2011,102,104,,
,7/21/2011,104,107,,
,7/22/2011,96,94,,
,7/23/2011,34,36,,
,7/24/2011,23,24,,
,7/25/2011,97,98,,
,7/26/2011,110,110,,
,7/27/2011,94,95,,
,7/28/2011,110,112,,
,7/29/2011,90,88,,
,7/30/2011,31,33,,
,7/31/2011,30,29,,
,8/1/2011,100,100,,
,8/2/2011,103,104,,
,8/3/2011,110,114,,
,8/4/2011,114,112,,
,8/5/2011,95,98,,
,8/6/2011,32,34,,
,8/7/2011,32,33,,
,8/8/2011,106,105,,
,8/9/2011,101,103,,
,8/10/2011,105,104,,
,8/11/2011,123,124,,
,8/12/2011,82,85,,
,8/13/2011,35,34,,
,8/14/2011,21,24,,
,8/15/2011,102,102,,
,8/16/2011,109,107,,
,8/17/2011,101,102,,
,8/18/2011,107,108,,
,8/19/2011,96,98,,
,8/20/2011,29,29,,
,8/21/2011,22,23,,
,8/22/2011,108,105,,
,8/23/2011,114,113,,
,8/24/2011,110,110,,
,8/25/2011,99,95,,
,8/26/2011,94,100,,
,8/27/2011,35,36,,
,8/28/2011,23,26,,
,8/29/2011,91,91,,
,8/30/2011,96,98,,
,8/31/2011,100,101,,
,9/1/2011,96,97,,
,9/2/2011,82,83,,
,9/3/2011,26,25,,
,9/4/2011,23,25,,
,9/5/2011,26,26,,
,9/6/2011,103,104,,
,9/7/2011,105,107,,
,9/8/2011,114,116,,
,9/9/2011,93,89,,
,9/10/2011,31,33,,
,9/11/2011,24,24,,
,9/12/2011,93,96,,
,9/13/2011,102,102,,
,9/14/2011,95,95,,
,9/15/2011,105,105,,
,9/16/2011,84,85,,
,9/17/2011,29,28,,
,9/18/2011,22,24,,
,9/19/2011,90,91,,
,9/20/2011,104,103,,
,9/21/2011,92,95,,
,9/22/2011,97,96,,
,9/23/2011,96,94,,
,9/24/2011,34,36,,
,9/25/2011,25,26,,
,9/26/2011,83,85,,
,9/27/2011,100,96,,
,9/28/2011,96,97,,
,9/29/2011,97,100,,
,9/30/2011,91,92,,
,10/1/2011,35,36,,
,10/2/2011,18,19,,
,10/3/2011,85,84,,
,10/4/2011,99,101,,
,10/5/2011,104,107,,
,10/6/2011,87,91,,
